id_persona	segment	inici_s	final_s	token_baix	probabilitats_baixes	n_tokens_baixos	text_segment_asr	formes_cobertes	clips_coberts	llindar	estat
pa-024	164	724.800	727.240	era | també | est	0.5320 | 0.5007 | 0.2706	3	que era el de dir, també, estressió,			p < 0.55	pendent d'audició
pa-024	165	727.320	734.960	em | perdre | que | ting | an	0.3347 | 0.4063 | 0.3471 | 0.4259 | 0.4067	5	em sap una mica de greu perdre el poder que ting la sobirania,			p < 0.55	pendent d'audició
pa-024	166	735.040	737.400	d	0.2612	1	que ting del tot sobren d'orra, no?			p < 0.55	pendent d'audició
pa-024	167	737.480	739.880	Ll | va | re | ge | ver	0.4393 | 0.4155 | 0.5196 | 0.3341 | 0.3042	5	Llavors es va regever una cosa amb l'altra.			p < 0.55	pendent d'audició
pa-024	169	744.320	747.400	com | durant	0.4777 | 0.3091	2	com, durant el procés de reforma molt confortable,			p < 0.55	pendent d'audició
pa-024	170	747.480	753.480	perquè | à | la | const | a | ï | os	0.3188 | 0.1109 | 0.4769 | 0.1683 | 0.1842 | 0.4003 | 0.0368	7	perquè ell manifestàve la seva voluntat constaïtosionalitzadora			p < 0.55	pendent d'audició
pa-024	171	753.480	757.880	à | ve	0.3849 | 0.4463	2	i topàve amb sectors conservadors,			p < 0.55	pendent d'audició
pa-024	172	757.880	761.480	hem | de | conse | i | de | jo	0.2143 | 0.1420 | 0.4905 | 0.5403 | 0.3968 | 0.5386	6	que hem de presentar el consell general, i de jo vull avançar,			p < 0.55	pendent d'audició
pa-024	174	762.480	765.480	No | cal | en | pos	0.1861 | 0.2984 | 0.3242 | 0.3012	4	No calen posar-se d'acord, no calen de voler,			p < 0.55	pendent d'audició
pa-024	175	765.480	768.480	a | els | la	0.2658 | 0.4457 | 0.1333	3	a reforma els mateixos no la veuen clar,			p < 0.55	pendent d'audició
pa-024	176	768.480	771.480	donc | pos | ic	0.1447 | 0.3646 | 0.3144	3	doncs posició confortable.			p < 0.55	pendent d'audició
pa-024	177	771.480	776.720	El | s | ond | rant | par | i | home	0.1346 | 0.1019 | 0.5071 | 0.1016 | 0.2454 | 0.4212 | 0.3160	7	El sondorrant ja paraven, i ell era l'home progressista.			p < 0.55	pendent d'audició
pa-024	178	776.840	779.080	fe	0.2523	1	França feia el mateix que el sondorrant,			p < 0.55	pendent d'audició
pa-024	179	779.200	779.840	d	0.3386	1	que d'orcer...			p < 0.55	pendent d'audició
pa-024	180	780.000	788.000	Això | un | ret | form | Com	0.0134 | 0.2154 | 0.5445 | 0.5449 | 0.0963	5	Això no pot ser un estat dret, no pot formar part de la Comunitat Internacional,			p < 0.55	pendent d'audició
pa-024	181	788.120	797.000	a | aquest | d | E | cia | però | al	0.2760 | 0.2316 | 0.1235 | 0.2620 | 0.4009 | 0.2322 | 0.2940	7	present a la República, aquest rol d'Ecopríncia però d'un objecte estat al mal identificat.			p < 0.55	pendent d'audició
pa-024	182	797.120	802.000	No | a | tamp	0.3470 | 0.4575 | 0.3773	3	No hi ha problema, però a la que sigui un estat dret, tampoc no ho veiem clar.			p < 0.55	pendent d'audició
pa-024	183	802.120	805.040	És | clar | ll | ín | ser | à | vis | cop	0.0310 | 0.0765 | 0.3992 | 0.3680 | 0.0272 | 0.4477 | 0.0875 | 0.4557	8	És clar, llavors, el Comprín serà viscopal,			p < 0.55	pendent d'audició
pa-024	184	805.120	810.080	que | era | com	0.4735 | 0.1518 | 0.4458	3	que era com el campió de la voluntat modernitzadora, no?			p < 0.55	pendent d'audició
pa-024	185	812.480	816.280	aquí | aquesta | a | sin | est | rat | ís	0.1590 | 0.5130 | 0.3659 | 0.4667 | 0.3562 | 0.4405 | 0.2267	7	I aquí, aquesta voluntat era a l'hora sincera i a l'hora estratèísica.			p < 0.55	pendent d'audició
pa-024	186	816.360	818.200	T | comen	0.1335 | 0.1177	2	Tant comença el procés constituent			p < 0.55	pendent d'audició
pa-024	187	819.280	823.160	què | perquè | hi	0.5059 | 0.1625 | 0.3555	3	i què va passar tot perquè hi ha un canvi d'actitud			p < 0.55	pendent d'audició
pa-024	188	823.240	826.200	s | no	0.2599 | 0.4954	2	que s'estudia moltes vegades de França, no?			p < 0.55	pendent d'audició
pa-024	189	826.280	829.760	O | d | Inst | uc | ions | Europe	0.2295 | 0.4783 | 0.2986 | 0.3733 | 0.5054 | 0.4357	6	Per l'Obi d'Institucions Europees,			p < 0.55	pendent d'audició
pa-024	190	829.840	836.760	Els | Trib | que | pos | el | po | cap | pr | franc | amb	0.0610 | 0.3132 | 0.1514 | 0.5228 | 0.5419 | 0.0139 | 0.3694 | 0.1482 | 0.4382 | 0.3430	10	Els famols, la sentència del Tribunal Europeu que posa el poc cap príncep francès amb una situació complicada,			p < 0.55	pendent d'audició
pa-024	191	836.760	838.760	ser	0.3515	1	una serra, uns.			p < 0.55	pendent d'audició
pa-024	192	840.000	845.440	Perd | cop | d | in | se | mb | it | arr | del | sept | ent	0.4506 | 0.2281 | 0.0697 | 0.1979 | 0.1989 | 0.2605 | 0.5261 | 0.0808 | 0.4777 | 0.4100 | 0.4725	11	Perdó que fan que el cop d'insembitarrant del primer septentat			p < 0.55	pendent d'audició
pa-024	193	845.520	848.800	el | canvi | i | di | de | van | la | process | constitu	0.4798 | 0.1976 | 0.2613 | 0.4915 | 0.1622 | 0.2607 | 0.3501 | 0.2132 | 0.4992	9	el segon canvi de pare i diuen de van a la processa constituent.			p < 0.55	pendent d'audició
pa-024	194	848.880	851.880	Clar	0.2729	1	Clar, aquí, a més a més,			p < 0.55	pendent d'audició
pa-024	195	851.960	854.200	per | all | les | rels	0.2638 | 0.0519 | 0.2737 | 0.0483	4	per allà, les dos porrels més poblades			p < 0.55	pendent d'audició
pa-024	196	854.280	856.680	han | hi	0.5226 | 0.3893	2	han donat també un consell que hi ha vol.			p < 0.55	pendent d'audició
pa-024	197	856.760	859.640	Hi | una	0.4067 | 0.3172	2	Hi ha un pes més gran que vol una constitució.			p < 0.55	pendent d'audició
pa-024	198	859.720	861.160	la	0.4348	1	Amb la qual, clar,			p < 0.55	pendent d'audició
pa-024	199	861.240	864.200	el | arr | no	0.3505 | 0.4024 | 0.5194	3	el plantejament del cop d'insembitarr no és tan episcopal			p < 0.55	pendent d'audició
pa-024	201	868.120	873.360	I | ll | bueno | la | sincer | ten	0.2546 | 0.5327 | 0.5070 | 0.1669 | 0.5020 | 0.4175	6	I llavors, bueno, la part sincera que tenia,			p < 0.55	pendent d'audició
pa-024	202	873.440	875.360	aqu | ests | plante	0.1976 | 0.5293 | 0.0571	3	aquests plantejament, ja li va bé,			p < 0.55	pendent d'audició
pa-024	203	875.440	879.560	però | èg | se | a	0.5464 | 0.5333 | 0.1050 | 0.3555	4	però la part més estratègica se li va a una mica contrariada, no?			p < 0.55	pendent d'audició
pa-024	204	879.640	881.800	És | que	0.2555 | 0.2156	2	És la que fa una mica contrapeu.			p < 0.55	pendent d'audició
pa-024	205	881.880	885.960	de | ver	0.3627 | 0.0384	2	I, de veritat, això es manifeste durant tota la negociació,			p < 0.55	pendent d'audició
pa-024	206	886.040	888.680	bueno	0.1745	1	perquè, de vegades, bueno,			p < 0.55	pendent d'audició
pa-024	207	888.760	891.440	pos | de | enf | à | cil | que	0.2941 | 0.3746 | 0.3252 | 0.1830 | 0.1496 | 0.4137	6	sembla com s'hi posi de molts enfàcils que jo aquí			p < 0.55	pendent d'audició
pa-024	208	891.520	895.320	he | independ | de | sober | an | ia | And	0.4549 | 0.2347 | 0.4751 | 0.2097 | 0.3257 | 0.4621 | 0.4318	7	he de poder garantir la independència de la soberania d'Andorra,			p < 0.55	pendent d'audició
pa-024	209	895.400	898.680	i	0.4682	1	i per tant necessito uns poder residuals.			p < 0.55	pendent d'audició
pa-024	210	900.000	909.000	I | no | ho | sé | no | ho	0.0301 | 0.0343 | 0.1566 | 0.2952 | 0.0904 | 0.5213	6	I no ho sé, no ho sé.			p < 0.55	pendent d'audició
pa-024	211	909.120	916.600	Com | han | poder	0.1034 | 0.1250 | 0.5258	3	Com han de ser aquests poders?			p < 0.55	pendent d'audició
pa-024	212	916.720	920.480	Una | ev | una	0.2890 | 0.2925 | 0.1738	3	Una vegada s'havia evocat una segona lectura de les lleis.			p < 0.55	pendent d'audició
pa-024	213	920.600	925.040	He | de | leg | let	0.0366 | 0.5240 | 0.3002 | 0.3116	4	He de poder tenir la possibilitat de que el procediment legisletiu			p < 0.55	pendent d'audició
pa-024	214	925.120	929.640	que | la | so | iten | i | l | end	0.4087 | 0.2529 | 0.5009 | 0.1569 | 0.4443 | 0.4219 | 0.5240	7	quan veig que perill la sovitenia i l'endependència,			p < 0.55	pendent d'audició
pa-024	215	929.720	931.840	o | bas | aqu | ís	0.4633 | 0.3414 | 0.4631 | 0.4830	4	o que es bascula molt, que no ens monaquís és.			p < 0.55	pendent d'audició
pa-024	216	931.920	934.520	Fran | sortir | ex | í | itz	0.1157 | 0.5111 | 0.4924 | 0.2620 | 0.2184	5	França, sortir l'expressió, monaquíització.			p < 0.55	pendent d'audició
pa-024	217	934.600	939.840	controlar | alguna | però	0.2846 | 0.2105 | 0.5444	3	He de poder controlar alguna manera, però estem dibuixant			p < 0.55	pendent d'audició
pa-024	218	939.920	942.080	un	0.4860	1	un esquema constitucional, una monarquia constitucional,			p < 0.55	pendent d'audició
pa-024	219	942.160	946.120	un | r | in | cip | cas	0.5273 | 0.3826 | 0.1812 | 0.4569 | 0.4771	5	un cop rincipat constitucional, per tant, com ho casem tot això.			p < 0.55	pendent d'audició
pa-024	220	946.200	948.120	Bueno | ja | es | at | var	0.2783 | 0.5125 | 0.4619 | 0.4767 | 0.5305	5	Bueno, ja es van atrovar en equilibris, no?			p < 0.55	pendent d'audició
pa-024	221	948.200	950.840	Clar | bueno | end | ev	0.0891 | 0.3401 | 0.4097 | 0.3525	4	Clar, França va dir, bueno, va, endevant,			p < 0.55	pendent d'audició
pa-024	222	950.920	954.400	era | a | si	0.2630 | 0.2331 | 0.3140	3	era gairebé si a tot, si a tot,			p < 0.55	pendent d'audició
pa-024	223	954.480	956.400	mentre | i	0.3530 | 0.3870	2	mentre respecti un esquema constitucional,			p < 0.55	pendent d'audició
pa-024	224	956.480	959.040	els | ol | uis | end | ja | va	0.5085 | 0.3368 | 0.1886 | 0.4312 | 0.4325 | 0.4878	6	el que diguin els oluis endorrant ja ens va bé.			p < 0.55	pendent d'audició
pa-024	225	959.120	961.120	vol | eh	0.0516 | 0.2555	2	I de volser, eh?			p < 0.55	pendent d'audició
pa-024	226	960.000	965.720	i | el | a | bar | bé | cert	0.0254 | 0.1762 | 0.4999 | 0.4981 | 0.3319 | 0.4918	6	i el que, a més aviat, trobar bé dificultats, però, bueno, també cert,			p < 0.55	pendent d'audició
pa-024	227	965.800	970.440	està | é | presa	0.3686 | 0.2801 | 0.2998	3	que la direcció està a la decisió de la direcció està aépresa,			p < 0.55	pendent d'audició
pa-024	228	970.520	979.440	per | ir | de	0.4362 | 0.2771 | 0.4169	3	perquè per més que es vulgués matirar de vegades			p < 0.55	pendent d'audició
pa-024	229	979.520	986.320	cera | ins | in | de | sober | de | d	0.1666 | 0.3668 | 0.5176 | 0.5493 | 0.4483 | 0.1712 | 0.4006	7	amb nom, sincera o insincera, de preservar la soberània de la independència d'endorra,			p < 0.55	pendent d'audició
pa-024	230	986.400	991.280	Sempre | co | in | se	0.4631 | 0.4134 | 0.4026 | 0.0637	4	Sempre la instrucció que tenien del cobrin sep,			p < 0.55	pendent d'audició
pa-024	231	991.360	996.560	al | la | tri | era | de | t | en | en	0.5289 | 0.0940 | 0.0916 | 0.2029 | 0.2415 | 0.4637 | 0.4685 | 0.2734	8	al seu representant-se la tripartida era de que va tancar en el tema en positiu.			p < 0.55	pendent d'audició
pa-024	233	999.960	1003.160	veg | que | no | es | perquè	0.2562 | 0.2442 | 0.4945 | 0.3413 | 0.5214	5	I havia vegades que jo pensava que no es tanque, perquè estem molt lluny,			p < 0.55	pendent d'audició
pa-024	234	1003.240	1006.640	es | celebr | s | Tri	0.2632 | 0.3786 | 0.3066 | 0.3304	4	i es celebrava la sessió de la Comissió Tripartida,			p < 0.55	pendent d'audició
pa-024	235	1006.720	1012.000	p | ums | b | h | ava	0.3318 | 0.1242 | 0.4374 | 0.2297 | 0.5499	5	i pums trobava un equilibri que 24 hores abans semblava impensable.			p < 0.55	pendent d'audició
pa-024	236	1012.080	1014.440	Jo	0.4477	1	Jo és la negociació que hi vis,			p < 0.55	pendent d'audició
pa-024	237	1014.520	1019.960	amb | jo | dir | els | 3 | perquè | com	0.2564 | 0.0580 | 0.3644 | 0.3112 | 0.5132 | 0.4847 | 0.3799	7	amb la qual jo vaig dir els 3 quina negociació, perquè, com...			p < 0.55	pendent d'audició
pa-024	238	1020.000	1023.520	de | les | persones | que | s | ha | de | fer	0.0177 | 0.1417 | 0.0322 | 0.5169 | 0.0520 | 0.1570 | 0.1647 | 0.1954	8	de les persones que s'ha de fer,			p < 0.55	pendent d'audició
pa-024	239	1023.640	1026.400	s | fer | de | les | persones	0.0252 | 0.4870 | 0.0317 | 0.2142 | 0.2215	5	s'ha de fer de les persones que s'ha de fer,			p < 0.55	pendent d'audició
pa-024	240	1026.520	1029.320	s | de | persones	0.2198 | 0.3754 | 0.4602	3	s'ha de fer de les persones que s'ha de fer,			p < 0.55	pendent d'audició
pa-024	241	1029.440	1031.840	de | persones	0.4184 | 0.4357	2	s'ha de fer de les persones que s'ha de fer,			p < 0.55	pendent d'audició
pa-024	242	1031.960	1034.920	s	0.4311	1	s'ha de fer, s'ha de fer, s'ha de fer,			p < 0.55	pendent d'audició
pa-024	249	1049.120	1055.120	No | era | o | rac	0.4556 | 0.3527 | 0.3945 | 0.2930	4	No sé si era això, o no ho sé, però la racionalitat			p < 0.55	pendent d'audició
pa-024	250	1055.240	1058.120	porta | pensar | exp | de | è	0.4093 | 0.4018 | 0.5427 | 0.0840 | 0.5469	5	porta a pensar que l'exposició de estratègies			p < 0.55	pendent d'audició
pa-024	251	1058.240	1061.120	i | di | at | no | pod | entrar	0.5378 | 0.2364 | 0.4136 | 0.5268 | 0.5254 | 0.3415	6	i que és d'un diatres no poden entrar a una equilibria			p < 0.55	pendent d'audició
pa-024	252	1061.240	1062.720	b | à | vem | i	0.3478 | 0.3538 | 0.4069 | 0.1808	4	i el trobàvem i el trobàvem.			p < 0.55	pendent d'audició
pa-024	253	1062.840	1066.320	quasi | g | tu | dic | que	0.5152 | 0.2112 | 0.3519 | 0.4604 | 0.1950	5	I era quasi realisme màgica, tu dic que no...			p < 0.55	pendent d'audició
pa-024	254	1066.440	1070.720	És	0.3928	1	És una cosa que no he tornat a trobar més amb la política.			p < 0.55	pendent d'audició
pa-024	255	1070.840	1073.440	ha | vis | cat | la	0.2802 | 0.4009 | 0.2782 | 0.3635	4	Quan ha viscat la negociació per formar coalicions,			p < 0.55	pendent d'audició
pa-024	256	1073.560	1077.000	at	0.4986	1	per formar candidatures, per seleccionar lideratges,			p < 0.55	pendent d'audició
pa-024	257	1077.120	1080.120	Per | all | à | està | ent | end	0.2586 | 0.2327 | 0.4221 | 0.1964 | 0.5031 | 0.0889	6	Per pactar allà, quan està entendut.			p < 0.55	pendent d'audició
pa-024	258	1080.000	1083.000	i | no | ens | est | anc	0.0620 | 0.0566 | 0.0395 | 0.1884 | 0.4960	5	i no ens separades, normalment, no estanc a la negociació.			p < 0.55	pendent d'audició
pa-024	259	1083.120	1088.880	sé | vi | ure | de | por | c	0.4600 | 0.1346 | 0.2819 | 0.3643 | 0.4551 | 0.3339	6	I ella... no sé, de viure-se, no sé, de porcés constituent,			p < 0.55	pendent d'audició
pa-024	260	1089.000	1092.000	maj | amb | inv | u	0.3513 | 0.4971 | 0.2825 | 0.4891	4	amb majúscules, amb invuï a tots.			p < 0.55	pendent d'audició
pa-024	261	1092.120	1095.000	el | p	0.4777 | 0.4122	2	I el fet que peteix la primera legislatura,			p < 0.55	pendent d'audició
pa-024	262	1095.120	1098.400	que | ha | at | param	0.5294 | 0.1536 | 0.4244 | 0.4785	4	jo que la primera legislatura ha jugat amb els mateixos parametres			p < 0.55	pendent d'audició
pa-024	264	1100.560	1103.640	Això | donc | em | no	0.4515 | 0.1580 | 0.2904 | 0.4356	4	Això no m'agrada, doncs, em planto, no?			p < 0.55	pendent d'audició
pa-024	265	1103.760	1108.560	acabar | i	0.2966 | 0.5000	2	Fins que va acabar petant el consell, i potser això va provocar...			p < 0.55	pendent d'audició
pa-024	266	1108.680	1112.240	Aqu | consci | enci | de | s | h | arrib | conf	0.1801 | 0.4660 | 0.2761 | 0.4506 | 0.4471 | 0.3179 | 0.4183 | 0.4291	8	Aquesta conscienciació de que s'havia arribat a un acord confós.			p < 0.55	pendent d'audició
pa-024	267	1112.320	1115.840	com	0.1940	1	Jo crec que la comissió constituent va aconseguir			p < 0.55	pendent d'audició
pa-024	268	1115.920	1123.520	cer | del	0.5449 | 0.4724	2	treballar amb una certa capacitat de allarcer del debat			p < 0.55	pendent d'audició
pa-024	269	1123.600	1126.000	vel	0.2243	1	que impregnavel conjunt dels 28.			p < 0.55	pendent d'audició
pa-024	270	1126.080	1130.640	Perm | cer | dels | conc | à | b	0.5100 | 0.1651 | 0.5364 | 0.1732 | 0.1492 | 0.5161	6	Permetir allarcer una mica dels conciliàbuls			p < 0.55	pendent d'audició
pa-024	271	1130.720	1134.120	de | amb | que | ens | gener	0.3731 | 0.4391 | 0.0332 | 0.4787 | 0.3257	5	i de què hi havia amb el que ens generàvem tot moment.			p < 0.55	pendent d'audició
pa-024	272	1134.200	1137.640	I | bueno | de | l | alt	0.2119 | 0.2487 | 0.0923 | 0.3029 | 0.3039	5	I també, bueno, de l'altre banda també,			p < 0.55	pendent d'audició
pa-024	273	1137.720	1139.880	l | ò | F	0.1396 | 0.2509 | 0.1881	3	lògicament, cada una F.			p < 0.55	pendent d'audició
pa-024	274	1140.000	1141.520	d | ins | de | Const	0.0623 | 0.5349 | 0.4421 | 0.4354	4	dins de la Constituent,			p < 0.55	pendent d'audició
pa-024	275	1141.600	1143.400	de | se | par | ies	0.4996 | 0.0616 | 0.2929 | 0.5216	4	dins de les seves parròquies,			p < 0.55	pendent d'audició
pa-024	277	1145.120	1147.480	end | de | ve | ll | ès | ho	0.2316 | 0.2707 | 0.1095 | 0.4979 | 0.1521 | 0.3196	6	Els endors de la vellès caldés ho tenien molt fàcil,			p < 0.55	pendent d'audició
pa-024	278	1147.560	1149.400	ten | mand	0.3541 | 0.1938	2	per tenien un mandat molt clar			p < 0.55	pendent d'audició
pa-024	279	1150.680	1155.400	un | pr | l | ig | o | pro | uc	0.4894 | 0.3358 | 0.2279 | 0.1678 | 0.3687 | 0.2722 | 0.1047	7	i tenien un pròlentigament més obertament proconstitucionalista.			p < 0.55	pendent d'audició
pa-024	280	1155.480	1157.880	Els | er	0.1777 | 0.1306	2	Els altres parròquies eren més complicat,			p < 0.55	pendent d'audició
pa-024	281	1157.960	1161.040	sob	0.5393	1	perquè sobretot pel tema del sistema electoral.			p < 0.55	pendent d'audició
pa-024	282	1161.120	1163.440	N | ives	0.2156 | 0.2851	2	Nives individual, jo crec que és la millor decisió política			p < 0.55	pendent d'audició
pa-024	283	1163.520	1166.320	pre | sta | mov | ida | la | present	0.2156 | 0.2365 | 0.3655 | 0.4889 | 0.4657 | 0.2476	6	que presta la movida, la de presentar-me amb aquestes eleccions			p < 0.55	pendent d'audició
pa-024	285	1169.320	1174.320	No	0.5183	1	No, això va anar de la següent manera.			p < 0.55	pendent d'audició
pa-024	287	1183.320	1187.320	al | sind | vert	0.5072 | 0.3486 | 0.2092	3	que és quan s'escull al sindic de la vert,			p < 0.55	pendent d'audició
pa-024	288	1187.320	1193.320	par | la | que | la | ma | vas | cul | cap	0.2113 | 0.3438 | 0.4273 | 0.3258 | 0.2022 | 0.4452 | 0.3016 | 0.4545	8	la parla que la maçana vas culer cap a la oposició			p < 0.55	pendent d'audició
pa-024	289	1193.320	1195.560	La | op | ll | passa | la | it	0.0425 | 0.4455 | 0.0791 | 0.5451 | 0.0674 | 0.4567	6	La oposició que llavors passa és la majoritària.			p < 0.55	pendent d'audició
pa-024	290	1195.680	1198.320	7 | v | d	0.5006 | 0.4038 | 0.3149	3	Tenen 7 vots, 7 dots,			p < 0.55	pendent d'audició
pa-024	291	1198.440	1200.040	su | a | l | op	0.4478 | 0.1017 | 0.1004 | 0.0628	4	però no són suficients per a l'oposició.			p < 0.55	pendent d'audició
pa-024	292	1200.000	1204.400	d | all | à | hi | mol | pa | ï	0.0153 | 0.0131 | 0.3239 | 0.0460 | 0.0332 | 0.0102 | 0.1606	7	d'allà hi ha molts països,			p < 0.55	pendent d'audició
pa-024	293	1204.520	1205.800	per | arrib	0.0290 | 0.1153	2	per arribar al govern,			p < 0.55	pendent d'audició
pa-024	294	1205.920	1208.640	tots | els | en | són | su | is | govern	0.4771 | 0.1386 | 0.0631 | 0.3615 | 0.0557 | 0.1669 | 0.5183	7	però tots els en són suficis per governar.			p < 0.55	pendent d'audició
pa-024	295	1208.760	1211.800	Hi | qu | i | ll | a | l | À | sc | decide	0.4337 | 0.2887 | 0.2211 | 0.1121 | 0.3767 | 0.4037 | 0.4379 | 0.5183 | 0.3221	9	Hi ha un bloquets i llavors a l'Àscar decideix			p < 0.55	pendent d'audició
pa-024	296	1211.920	1216.440	blind | consider | a | Sant | A | ver | í | hi | a	0.3893 | 0.4981 | 0.4424 | 0.5302 | 0.1671 | 0.2047 | 0.3526 | 0.2087 | 0.3906	9	blindar-se, considera que amb el Sant Averí hi ha a mi,			p < 0.55	pendent d'audició
pa-024	297	1216.560	1218.520	a | minist | de | B	0.1532 | 0.5152 | 0.4262 | 0.3359	4	que era a ministres de Bors,			p < 0.55	pendent d'audició
pa-024	298	1218.640	1222.360	ja | un | ut | x | a | Sant | Jul	0.3664 | 0.4007 | 0.3689 | 0.0685 | 0.3718 | 0.3341 | 0.5099	7	i ja tenia un cert cartutxos electorals a Sant Julià			p < 0.55	pendent d'audició
pa-024	299	1222.480	1224.440	bat	0.4953	1	per jugar una batalla electoral,			p < 0.55	pendent d'audició
pa-024	300	1224.560	1228.320	a | d | par | r	0.3368 | 0.3059 | 0.3590 | 0.3254	4	i va buscar més pesa a daltes parròquies.			p < 0.55	pendent d'audició
pa-024	301	1228.440	1258.440	no | hi | cap | a | l | es | for | ç | de | l | est | de | l | est	0.0151 | 0.1041 | 0.0714 | 0.0536 | 0.0689 | 0.0334 | 0.1358 | 0.4371 | 0.1506 | 0.1009 | 0.1080 | 0.2311 | 0.2349 | 0.2668	14	no hi ha cap a l'esforç de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'estat de l'est			p < 0.55	pendent d'audició
pa-024	302	1258.440	1260.040	Els | ia	0.1621 | 0.0947	2	Els candidats que podia...			p < 0.55	pendent d'audició
pa-024	303	1260.000	1263.120	que | em | sembla | amb | l | I | no	0.0635 | 0.0228 | 0.0370 | 0.3475 | 0.4358 | 0.1755 | 0.2725	7	que em sembla amb l'Ista, no?			p < 0.55	pendent d'audició
pa-024	304	1263.240	1268.120	a | dos | llers	0.1235 | 0.4652 | 0.5316	3	Evidentment, a dos que havíem estat consellers de govern,			p < 0.55	pendent d'audició
pa-024	306	1273.280	1274.960	pos | o | re | a	0.1370 | 0.2552 | 0.2171 | 0.3348	4	poso rellevant-se a política amb aquell moment,			p < 0.55	pendent d'audició
pa-024	307	1275.080	1277.720	es | el | o | f | sim | c	0.1361 | 0.3219 | 0.5237 | 0.1977 | 0.1568 | 0.3598	6	i per tant, es va considerar el porto que fos simcandidats,			p < 0.55	pendent d'audició
pa-024	308	1277.840	1280.160	jo | pot | que | el | més	0.4140 | 0.1306 | 0.4248 | 0.3727 | 0.3619	5	es va obrir jo, que pot ser que el més conservador			p < 0.55	pendent d'audició
pa-024	309	1280.280	1282.240	para | és | el	0.1749 | 0.2879 | 0.2707	3	de la paraula que és el Joan Pujal,			p < 0.55	pendent d'audició
pa-024	310	1282.360	1288.200	ve | ig | ess	0.2300 | 0.5210 | 0.3567	3	i jo veig també obrir jo, com va interessar,			p < 0.55	pendent d'audició
pa-024	311	1288.320	1292.120	que | ja | és | Pere | lt | l	0.1164 | 0.1977 | 0.2410 | 0.3266 | 0.3199 | 0.4173	6	que ja és el Pereltimir, que era una mica de la línia més progressista			p < 0.55	pendent d'audició
pa-024	312	1292.200	1294.720	p | a | mi	0.1164 | 0.4173 | 0.2493	3	i també paredat, més propera mi, no?			p < 0.55	pendent d'audició
pa-024	313	1294.800	1297.520	ser | així	0.3051 | 0.2390	2	I va ser configurat així.			p < 0.55	pendent d'audició
pa-024	314	1297.600	1303.400	ver | los	0.2605 | 0.1691	2	Jo sí que és veritat que vam parlar amb los carribes			p < 0.55	pendent d'audició
pa-024	315	1303.480	1305.280	Joan | de	0.4783 | 0.1430	2	i amb el Joan Sant de Maria, també,			p < 0.55	pendent d'audició
pa-024	316	1305.360	1309.080	vam | C | orte	0.5097 | 0.2246 | 0.2598	3	i vam arribar a la Corte,			p < 0.55	pendent d'audició
pa-024	317	1309.160	1311.840	ab | de | que | si	0.3036 | 0.1871 | 0.5162 | 0.3987	4	abans de fer la candidatura, que si es guanyava,			p < 0.55	pendent d'audició
pa-024	319	1314.520	1318.080	que | ir | constitu | i | el | ent	0.4928 | 0.5334 | 0.4928 | 0.4468 | 0.4031 | 0.4313	6	que jo niria la constituent i que el Sant de Maria niria la permanent.			p < 0.55	pendent d'audició
pa-024	320	1318.160	1320.080	i | impact | a | ll | avors	0.3191 | 0.0181 | 0.4041 | 0.2461 | 0.4399	5	i això es va impactar a llavors.			p < 0.55	pendent d'audició
pa-024	321	1320.000	1321.880	i | aquest | es | ele	0.2075 | 0.4593 | 0.2588 | 0.3587	4	i aquestes eleccions, la veritat,			p < 0.55	pendent d'audició
pa-024	322	1321.960	1324.040	er	0.4094	1	no eren favorits,			p < 0.55	pendent d'audició
pa-024	323	1324.120	1329.120	er | a | l | i | amb | el | cos | i | Jose	0.4211 | 0.1496 | 0.4492 | 0.3394 | 0.4621 | 0.2512 | 0.3895 | 0.2253 | 0.4881	9	eren favorits a l'Albert Pintat i amb el cos i Josep,			p < 0.55	pendent d'audició
pa-024	324	1329.200	1332.040	que | a | alt | l | ust | í | mer | fa	0.4117 | 0.5182 | 0.5397 | 0.4276 | 0.5347 | 0.1646 | 0.1926 | 0.2838	8	que és presentar a l'altallista l'agustí merfa,			p < 0.55	pendent d'audició
pa-024	325	1332.120	1333.640	ni | la | ï | dat	0.4300 | 0.4032 | 0.4358 | 0.2992	4	ni la Teresa Caïdat,			p < 0.55	pendent d'audició
pa-024	326	1333.720	1335.520	va | m | ar | ni	0.2755 | 0.3640 | 0.3833 | 0.4717	4	però va m'acabar guanyar ni a més,			p < 0.55	pendent d'audició
pa-024	327	1335.600	1338.120	A | més | a | jo | ho	0.0212 | 0.3336 | 0.0765 | 0.4453 | 0.2392	5	A més a més jo ho he fet un resultat molt bo,			p < 0.55	pendent d'audició
pa-024	328	1338.200	1346.200	que | em | també | legitim | a | de | poder | polít	0.0805 | 0.2564 | 0.3819 | 0.1512 | 0.2469 | 0.5146 | 0.4489 | 0.4098	8	que em va donar també legitimitat a l'hora de poderar-me políticament			p < 0.55	pendent d'audició
pa-024	332	1353.360	1356.640	a	0.3661	1	El electorat va decidir donar pes a reformadors			p < 0.55	pendent d'audició
