ordre	id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
165	pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	sí	sí	sí	A-tres-models	A més enllà, ens va costar fer aquest pas important,  després, evidentment, entrem a la legislatura crítica  o a la més forta que hi ha.	va costar fer aquest pas important, després evidentment entre la legislatura crítica o la més forte.	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica
166	pa-039	evidentment	clips/pa-039__evidentment__184.17.wav	sí	no	sí	B-dos-models	Evidentment, la siniciatura, claro.	i viuen la silnicatura, clar, que és la gent.	Evidentment, la siniciatura, claro.
167	pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	sí	sí	no	B-dos-models	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	El que passa és que no s'han positiu.  Evidentment, hagués sigut un dalt a baix, que si no s'hagués.	que no s'ha de fer.
168	pa-041	evidentment	clips/pa-041__evidentment__353.25.wav	sí	sí	sí	A-tres-models	amb la responsabilitat, amb les persones que hi treballàvem, evidentment,  per dir, és que això no és una cosa per ara,	una concebilitat amb les persones que hi treballaven evidentment.  Per dir, bueno, és que això no és una cosa per ara.	amb la responsabilitat, amb les persones que hi treballàvem, evidentment,  per dir que això no és una cosa per ara,
169	pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	sí	sí	sí	A-tres-models	que tenen senyor o, evidentment,  en una sèrie de condicions molt clares,  d'un nombre de persones.	que tenen senyar-ho, evidentment, amb una sèrie de condicions molt clares,  perquè hi ha nombre de persones.	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.
170	pa-046	evidentment	clips/pa-046__evidentment__705.69.wav	no	no	no	D-cap-model	que es podria fer a l'estat espanyol.	que es posa a la lluita.	i que no es podria fer.
171	pa-049	evidentment	clips/pa-049__evidentment__117.17.wav	sí	no	sí	B-dos-models	Volem arrancar el moment primer,  el primer fil del teu contacte amb la vida,  que evidentment és el lloc on...	No ho sé, no ho sé, no ho sé.	Vull dir, a més, voldria m'arrancar el moment primer,  el primer fil del teu contacte amb la vida,  que evidentment és el lloc on...
172	pa-055	evidentment	clips/pa-055__evidentment__1644.01.wav	sí	sí	sí	A-tres-models	que dintre d'això hi havia punts essencials, evidentment,	que dintre de això hi havia punts essencials, evidentment, de les libertades.	que dins d'això hi havia punts essencials, evidentment,
173	pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	sí	sí	sí	A-tres-models	com estaven, doncs evidentment no era el nostre tarannà,  per almenys el meu.	com estaven, evidentment no era el nostre tarant nou,  per la menys del meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.
174	pa-059	evidentment	clips/pa-059__evidentment__152.13.wav	sí	no	sí	B-dos-models	Evidentment, amb coses diferents perquè penso que el que era la part d'endorra la vella i escaldes era en potser...	No sé si això no és un llibre.  No sé si això no és un llibre.  Per què penso que la part endorra de la vella i escàldez	i que no hi hem fet. Evidentment, amb coses diferents,  perquè penso que el que era la part d'endorra la vella i escaldes  era en potser...
175	pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	sí	sí	sí	A-tres-models	i després hi havia el factor, evidentment, diferent.  Se'l deprem, clar, que no.	d'aquestes d'origen, i després hi havia el factor i, evidentment,  diferent sal de prou, la barca.	i després hi havia el factor, evidentment, diferent,  si el deprem clar.
176	pa-062	evidentment	clips/pa-062__evidentment__163.29.wav	no	no	no	D-cap-model	però també cultivar.	M'he cultivat.  Proto-me cultivat. Comenceu per alguna cosa tan...	però també cultivà.
177	pa-064	evidentment	clips/pa-064__evidentment__485.89.wav	no	sí	no	C-un-model	Té molts grups.	Tés, evidentment, vostè deu tindrem els recursos dolents,  però també un moment.	i que no es pot fer.
178	pa-066	evidentment	clips/pa-066__evidentment__89.75.wav	sí	no	sí	B-dos-models	evidentment tota la part del sota em va quedar absolutament inundat.	d'aquesta part de l'estat i de l'estat de l'estat.	i ara, evidentment, tota la part del sota  em va quedar absolutament inundat.
179	pa-003	diguem	clips/pa-003__diguem__212.85.wav	no	sí	no	C-un-model	Aquesta és la primera acció d'ordre polític.	Aquesta és la primera acció, diguem un d'ordre polític.	aquesta és la primera acció d'ordre polític.
180	pa-006	diguem	clips/pa-006__diguem__530.25.wav	sí	no	sí	B-dos-models	modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,	moderns, les primeres instal·lacions i de producció elèctric que digui a d'Andorra,	modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,
181	pa-007	diguem	clips/pa-007__diguem__585.25.wav	sí	sí	sí	A-tres-models	per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.	per la funtera, diguem que es va generar un debat força en ces a les corses penones.  I aquí...	per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.
182	pa-008	diguem	clips/pa-008__diguem__374.25.wav	no	sí	no	C-un-model	de Carlet.  Diríem que pràcticament la definició de les falles d'Andorra és absurda.	de la carlet. Diguem que pràcticament la definició de les falles d'endorra és absurder.	de Carlet.  Diuem que pràcticament la definició de les falles d'Andorra és absurd.
183	pa-009	diguem	clips/pa-009__diguem__60.25.wav	no	sí	no	C-un-model	que seria l'aliació perfecta per tenir una bona sonoritat.	que seria l'aliació perfecta, diguem-ne, per tenir una bona sonoritat.	que seria l'aliació perfecta per tenir una bona sonoritat.
184	pa-018	diguem	clips/pa-018__diguem__715.49.wav	sí	sí	sí	A-tres-models	que els altres que se'ns va anar apropant, diguem,  però vosaltres realment voleu fer això,  és que vosaltres...	que sense anar a propant, diguem, però vosaltres realment volen fer això.  És que vosaltres realment volen fer això.	que se'ns va anar apropant, diguem,  però vosaltres realment volen fer això,  és que vosaltres...
185	pa-019	diguem	clips/pa-019__diguem__109.25.wav	sí	sí	sí	A-tres-models	I va haver una certa, diguem-ne, un bon feeling, no?	I m'ha aviat una certa, diguem-ne, un bon fillig, no?	i va haver una certa... diguem-ne, un bon feeling, no?
186	pa-020	diguem	clips/pa-020__diguem__1459.77.wav	sí	no	no	C-un-model	Diguem el que pensem, després de les votacions,	Tinc el que pensem, després les votacions o que guanyar el guanyar.	Dic que és el que pensem, després de les votacions,
187	pa-022	diguem	clips/pa-022__diguem__447.57.wav	no	no	no	D-cap-model	i guardar el mateix temps els usos certs usos i costums.	d'alguna manera.	i guardar el mateix temps als usos certs usos i costums.
188	pa-023	diguem	clips/pa-023__diguem__55.05.wav	no	no	no	D-cap-model	Jo el que em anava a la policia era en els veguers i amb el procés.	de la policia i no els vegués i amb el procés.	i el que em va dir a la policia era que els vegués.
189	pa-025	diguem	clips/pa-025__diguem__500.89.wav	sí	sí	sí	A-tres-models	i de competències que en francès en diguem regalient.	i de competències que hem francesen, diguem, regalien, és la vida.	i de competències que en francès en diguem regalient.
190	pa-027	diguem	clips/pa-027__diguem__57.77.wav	sí	no	sí	B-dos-models	permanent, diguem sovint que és llàstima que no haguéssim allargat el lloc de...	de les eleccions de l'estima que no s'haguéssim allargat.	i permanent, diguem sovint que és l'àstima que no haguéssim allargat.
191	pa-028	diguem	clips/pa-028__diguem__168.89.wav	no	no	no	D-cap-model	m'és fort o més velló, però...	hem esforçat més de llò, però...	i a més, a més forta, a més de lloc.
192	pa-029	diguem	clips/pa-029__diguem__929.69.wav	sí	no	sí	B-dos-models	però que no siguis un club, diguem-ho així.	Però que no sigui un club, dic-m'ho així, la llei.	però que no siguis un club, diguem-ho així.
193	pa-033	diguem	clips/pa-033__diguem__49.01.wav	sí	no	sí	B-dos-models	normalment es revia amb... amb interès, diguem, es revia amb interès.	Doncs normalment es revie amb interès.	normalment es revia amb... amb interès, diguem.
194	pa-034	diguem	clips/pa-034__diguem__504.45.wav	sí	sí	sí	A-tres-models	i moltes persones de la cor antenna, diguem, no?	de la corentena, diguem, no?	i ho dic moltes persones de la cor antenna, diguem-ne.
195	pa-037	diguem	clips/pa-037__diguem__469.77.wav	sí	sí	sí	A-tres-models	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així,  durant una hora o més.	una cosa que em va ser desfem molt, molt,  va ser que vaig fer desindic, diguem-ho, xis,  durant misora o una hora.	Bé, marxar. Una cosa que em va satisfir molt, molt,  va ser que vaig fer de síndic, diguem-ho així,  durant una hora o més.
196	pa-038	diguem	clips/pa-038__diguem__251.25.wav	no	sí	sí	B-dos-models	el seu gust, però generalment inspirats o tele dirigits.	el seu gust, però, generalment, inspirats o, diguem, tele dirigit.	el seu gust, però generalment inspirats o, diguem, teledirigits.
197	pa-039	diguem	clips/pa-039__diguem__144.37.wav	no	no	no	D-cap-model	i això és el que ha de fer a l'estratègia jurídica  i d'altres amb certa representativitat de país, digueu-ho així.	i d'altres amb cert representativitat de país.	i d'altres amb certa representativitat de país, digueu-ho així, no?
198	pa-046	diguem	clips/pa-046__diguem__626.01.wav	sí	sí	sí	A-tres-models	A part de les patates o les tronfes, que diguem a Canillo.	de les patates o les trumfes que diguem a canellos.	A part de les patates o les tronfes, que diguem a Canillo.
199	pa-049	diguem	clips/pa-049__diguem__213.13.wav	sí	no	no	C-un-model	que no havia, avui dia, a Calarenya i al Cíndic General,  per fer una mica de publicitat d'endorra.  Diguem que endorra era un poble.	No avia avui dir a Calerany i a dir a els indics general,  per fer una mica de publicitat d'endor.  D'aquests d'endorres,	i que no hi hagi una informació.
200	pa-057	diguem	clips/pa-057__diguem__929.81.wav	sí	sí	no	B-dos-models	però que no siguis un club, diguem-ho així.	Però que no sigui és un club, diguem-ho així.	però que no siguis un club, diríem així,
201	pa-058	diguem	clips/pa-058__diguem__715.21.wav	sí	sí	no	B-dos-models	per nosaltres, que se ens van apropant, diguem, per vosaltres.	que se'ns va anar a propant, diguem, però vosaltres.	que ens van apropar a vosaltres.
202	pa-060	diguem	clips/pa-060__diguem__55.05.wav	no	no	no	D-cap-model	Jo el que em va anar a veure a la policia era en els veguers.	El que mena la policia era el que es vegués i el procés.	i el que em va dir a la policia era que els vegués.
203	pa-062	diguem	clips/pa-062__diguem__191.37.wav	sí	sí	sí	A-tres-models	i aquesta bata, que a canilló en diguem una brusa.	i aquesta vata, que en diuen, diguem una bruja.	i aquesta bata, que a Canillón diguem una bruixa...  La bruixa.
204	pa-001	crec	clips/pa-001__crec__97.33.wav	sí	sí	sí	A-tres-models	i crec que finalment va acabar a força bé.	i crec que fins a menys va acabar força bé.  Per part.	i crec que fina moment em va acabar a forçar bé.
205	pa-002	crec	clips/pa-002__crec__248.25.wav	sí	sí	sí	A-tres-models	Jo crec que més que espantar diria que no se'n coneixia el contingut.	I jo crec que més que espantar diria que no s'inconegui el contingut.	Jo crec que més que espantar diria que no se'n coneixia el contingut.
206	pa-003	crec	clips/pa-003__crec__0.00.wav	sí	sí	sí	A-tres-models	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.	Bé, jo crec que de fet ens hem de situar en el context dels anys 80
207	pa-010	crec	clips/pa-010__crec__1033.25.wav	sí	no	sí	B-dos-models	i que crec que és prou encertada.	i jo, en gruminis, i que queda que és pròlent segona.	és Joan Grumines i que crec que és prou encertada.
208	pa-014	crec	clips/pa-014__crec__153.25.wav	sí	sí	sí	A-tres-models	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	i jo crec que també em mou que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest ámbit, que és una mica...	i jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...
209	pa-016	crec	clips/pa-016__crec__93.17.wav	sí	no	no	C-un-model	i la responsabilitat que tens, per mi és imposa.  Crec que sí, jo no tinc...	i la responsabilitat que tens per mi és, bon, imposer, clar que sí, jo no tinc...	i la responsabilitat que tens per mi és imposa.  Jo no tinc...
210	pa-018	crec	clips/pa-018__crec__7.49.wav	sí	sí	sí	A-tres-models	i després jo crec que el problema que hi ha dels 78 és que...	I després, jo crec que el problema que hi ha dels 78 és de què...	i després jo crec que el problema que hi ha del 78 és que...
211	pa-019	crec	clips/pa-019__crec__27.25.wav	sí	sí	sí	A-tres-models	i en aquell moment jo crec que en Dorre necessitava.	en aquell moment, jo crec que en dos repos necessitaven,  per entrar al llibre.	i en aquell moment jo crec que en Dorre necessitava.
212	pa-021	crec	clips/pa-021__crec__115.53.wav	sí	sí	sí	A-tres-models	I jo crec que el fet de que amb el consell anterior passés el que va passant.	Jo crec que el fet de què m'alconseguin anterior  va ser el que va passar.	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.
213	pa-022	crec	clips/pa-022__crec__243.73.wav	sí	sí	sí	A-tres-models	I jo crec que un factor important és el canvi generacional, també, entreu.	Jo crec que un factor important és al canvi d'internacional, també, entreu.	Jo crec que un factor important és el canvi generacional, també, entre un.
214	pa-023	crec	clips/pa-023__crec__42.93.wav	no	sí	no	C-un-model	Com que no depenia del govern, el PAM creia que era en 84.	Com que no depenia del govern el vam crear, crec que l'em84.	No depenia del Govern, el PAM crea que era en 84.
215	pa-024	crec	clips/pa-024__crec__368.01.wav	sí	sí	sí	A-tres-models	I aleshores, la banda, jo crec que els carrers...	Jo crec que los carribes, però no...	i que, per tant, jo crec que els carrers, desfocats,
216	pa-025	crec	clips/pa-025__crec__4.25.wav	sí	sí	sí	A-tres-models	Jo crec que el que es volia era trobar la manera d'arribar.	Jo crec que es vulguiere trobarà la manera de arribar.	Jo crec que el que es volia era trobar la manera de arribar.
217	pa-027	crec	clips/pa-027__crec__8.81.wav	sí	sí	sí	A-tres-models	I ho recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	i jo recordo perquè no crec que era l'arradió i no sé si hi havia televisió en aquest moment.  En l'alcult de l'alcult de l'alcult.	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.
218	pa-030	crec	clips/pa-030__crec__346.45.wav	sí	sí	sí	A-tres-models	perquè jo crec que hi ha alguns que em donen la sensació	Per què jo crec que hi ha alguns que em donen a sensació que n'hi espanyol.	perquè jo crec que hi ha alguns que em donen una sensació
219	pa-031	crec	clips/pa-031__crec__87.01.wav	sí	sí	sí	A-tres-models	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però, realment, jo crec que l'esprit de la gent no hi hagi	de sort, però realment jo crec que l'esperit de la gent no hi ha ni per a la gent.
220	pa-034	crec	clips/pa-034__crec__651.65.wav	sí	no	no	C-un-model	O com pot ser, vull dir, crec que pot ser fàcil, no?	o com pot ser-ho dir que pot ser fàcil, no?	i que no hi hagi una altra manera de fer-ho.  I és molt fàcil.
221	pa-035	crec	clips/pa-035__crec__872.77.wav	sí	sí	sí	A-tres-models	jo no crec que s'hagi de canviar massa, massa sovint d'una constitució.	Jo no crec que s'haig de canviar massa, massa subindulant la costidució.  Adéixeu-ne.	Jo no crec que s'ha de canviar massa, massa subint una constitució.
222	pa-037	crec	clips/pa-037__crec__424.61.wav	sí	no	sí	B-dos-models	de fa molts anys en darrere i, a bon lloc d'extensió,  hem de mirar que s'acabin i se n'han acabat.  Jo crec que se n'han acabat.	de fa molts anys en darrere i abans de les distencions,  hem de mirar que s'acabin i s'han acabat, jo penso que s'han acabat.	de fa molts anys en darrere, i a bon regat d'extensió,  hem de mirar que s'acabin i s'han acabat,  jo crec que s'han acabat.
223	pa-038	crec	clips/pa-038__crec__220.69.wav	sí	sí	sí	A-tres-models	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Jo crec que la tac de nacionalisme que ens va morir.	Bé, jo crec que l'atac de nacionalisme que ens va moure...
224	pa-039	crec	clips/pa-039__crec__90.85.wav	sí	sí	sí	A-tres-models	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	m'ho explicarà.  Doncs jo crec que aquesta meva vulguer marcar...	i ho explicarà.  Doncs jo crec que a aquest home hi va voler marcar...
225	pa-040	crec	clips/pa-040__crec__4.37.wav	sí	sí	sí	A-tres-models	Jo crec que he pogut entrar en càrregues.	Jo crec que desput entrar gairebé sigut...	Jo crec que he pogut entrar a càrrecs.
226	pa-041	crec	clips/pa-041__crec__56.25.wav	sí	sí	sí	A-tres-models	als pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	Els pares jo crec que van fer una feina molt important  amb aquells primers anys a l'escola d'orana.	els pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.
227	pa-042	crec	clips/pa-042__crec__32.01.wav	no	sí	no	C-un-model	i el que hem de fer és que no hi hagi gaire malaltia.	Crec que és el problema de tothom que entra a l'escola o que demana una hora.	i que no hi hagi una altra.
228	pa-043	crec	clips/pa-043__crec__102.25.wav	sí	sí	sí	A-tres-models	per mi l'escola andorrana és una identitat no, jo crec.	que està a dir.  Per mi l'escola Endor Rana és que es veu una identitat, no, jo crec.  És a dir, tots els albertats.	per mi l'escola en d'Orrana és una identitat no, jo crec.
229	pa-045	crec	clips/pa-045__crec__240.61.wav	no	sí	no	C-un-model	No ho sé, però no ho sé.	de l'obra d'art.  Si em siguin basicament, jo crec que això, no?	i que no hi hagi una altra.
230	pa-046	crec	clips/pa-046__crec__208.41.wav	no	no	no	D-cap-model	i el que hem fet és que hi hagi una via certada.	i no és altres que hem agafat una via a ser dada,	i que no s'ha de fer.
231	pa-048	crec	clips/pa-048__crec__110.97.wav	sí	sí	sí	A-tres-models	Si hi ha cel, jo no crec ni en l'infern, ni en el purgatori, ni en el cel.	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.
232	pa-049	crec	clips/pa-049__crec__371.85.wav	sí	sí	sí	A-tres-models	M'agradaria que no hi havia res.  Jo crec que en aquella època, pràcticament tot devia ser necessari,  per la falta, precisament, de tot el que hi havia aquí al país.	I jo crec que amb aquella època va ser necessari per la palta,  precisament de tot el que hi havia aquí el país.	i que no hi havia res.  Jo crec que en aquella època pràcticament tot devia ser necessari  per la falta, precisament, de tot el que hi havia aquí al país.
233	pa-051	crec	clips/pa-051__crec__208.57.wav	sí	sí	sí	A-tres-models	No crec que arribi amb totes les ovelles de canillo sent.	No crec que arribi amb totes les húuelles de canilla, seny.	No crec que arribi amb totes les ovelles de canillo sent.
234	pa-056	crec	clips/pa-056__crec__347.05.wav	sí	sí	sí	A-tres-models	perquè jo crec que hi ha alguns que em donen una sensació	Perquè jo crec que hi ha alguns que em donen associacions  que n'hi esparran.	perquè jo crec que hi ha alguns que em donen una sensació
235	pa-058	crec	clips/pa-058__crec__6.69.wav	no	sí	no	C-un-model	I el problema que hi ha del 78 és que...	I després jo crec que el problema que hi ha dels 78 és d'aquest...	i que no hi hagi una altra cosa.
236	pa-060	crec	clips/pa-060__crec__42.05.wav	sí	no	sí	B-dos-models	que es vegués. No depenia del Govern, el vam crear, crec que l'hem 84.	com que no depenia del govern el pàmpic crea que l'844.	que no es vegués.  No depenia del govern el que vam crear, crec que l'hem 84.
237	pa-061	crec	clips/pa-061__crec__428.85.wav	sí	sí	no	B-dos-models	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	Hi ha una cosa que jo crec que és important.	i que no es poden fer.  I això és molt important.
238	pa-062	crec	clips/pa-062__crec__1037.89.wav	sí	sí	sí	A-tres-models	que el va callar, jo crec que has tallat el pernil.  Sí.	i jo crec que has tallat el per a n'hi-el.	i el va callar. Jo crec que has tallat el pernil.
239	pa-063	crec	clips/pa-063__crec__758.81.wav	sí	sí	sí	A-tres-models	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	Això és el que hem d'intentar.  Jo crec que s'està fent naturalment.	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.
240	pa-064	crec	clips/pa-064__crec__1335.77.wav	sí	sí	sí	A-tres-models	la família, jo crec que és l'escència de viure bé i en pau.	La família, jo crec que la sensia té bíure bé i ambà.	La família, jo crec que és l'essència de viure bé i en pau.
241	pa-065	crec	clips/pa-065__crec__1276.85.wav	sí	no	sí	B-dos-models	Sí, jo crec que... i aquests camins, i aquests cims...	Jo et dic que ja que ets camins, ja que ets sims.	Jo crec que... i aquests camins, i aquests cims...
242	pa-066	crec	clips/pa-066__crec__219.63.wav	sí	sí	sí	A-tres-models	La col·laboració del banc amb l'entorn amb el país crec que va ser important.	la col·laboració del banc amb l'entorn, amb el país, crec que va ser important.	La col·laboració del banc amb l'entorn amb el país crec que va ser important.
243	pa-001	bueno	clips/pa-001__bueno__207.01.wav	no	no	no	D-cap-model	I aleshores, a partir d'aquí van anar sortint els problemes del dia a dia,	i aleshores, per a partir d'aquí van assortir els problemes del dia a dia.	i els problemes que es van fer a les hores.  I aleshores van anar sortint els problemes del dia a dia,  van anar sortint tot el dia a dia.
244	pa-002	bueno	clips/pa-002__bueno__433.25.wav	no	no	sí	C-un-model	Bé, aquí es va decidir, en aquell moment no hi havia comensió.	Aquí s'ha de decidir a maquill moment, i a bé com és.	Bueno, aquí es va decidir,  en aquell moment no hi havia comensió.
245	pa-003	bueno	clips/pa-003__bueno__227.05.wav	sí	no	sí	B-dos-models	"totalitari perquè hi havia pares en el sentit de dir  ""Bueno, hi existeix un sistema educatiu ric""."	perquè hi havia parez en el sentit de dir,  hi hadgixteix un sistema educatiu ric.	"totalitari perquè hi havia pares en el sentit de dir  ""bueno, hi existeix un sistema educatiu ric""."
246	pa-007	bueno	clips/pa-007__bueno__475.25.wav	no	no	no	D-cap-model	d'aquesta manada humana i la resta dels sendorans.  Precisament d'aquest mossèn, de mossèn.	d'aquesta manera obera i la resta dels endurants.  Precisament d'aquest mossèn de mossèn	d'aquesta manera deuen i la resta dels sandorrans.  Precisament d'aquest mossèn de mossèn...
247	pa-008	bueno	clips/pa-008__bueno__969.25.wav	no	no	sí	C-un-model	anys 90, anys 80, doncs anirem considerats com uns rexelabrats que l'únic que els hi ha...	40 anys, 80, doncs ara ens considerats com uns aixabrades que l'únic	anys 90, anys 80, doncs, bueno,  eren considerats com uns regellabrats  que l'únic que els hi ha...
248	pa-016	bueno	clips/pa-016__bueno__93.17.wav	no	no	no	D-cap-model	i la responsabilitat que tens, per mi és imposa.  Crec que sí, jo no tinc...	i la responsabilitat que tens per mi és, bon, imposer, clar que sí, jo no tinc...	i la responsabilitat que tens per mi és imposa.  Jo no tinc...
249	pa-017	bueno	clips/pa-017__bueno__823.25.wav	no	sí	sí	B-dos-models	Les dones ens diuen que les han ficat aquí, les han aparcat una mica,  que faig el que hagin de fer, però que caigui.	Les dones ens deien, bueno, posmira.  Les han ficat aquí, les han aparcat una mica,  que faig en el que haïm de fer, però que caigui.	"i els dones ens diuen ""bueno, mira, les han ficat aquí, les han aparcat una mica,  que faiggin el que hagin de fer, però que caiguin""."
250	pa-018	bueno	clips/pa-018__bueno__23.21.wav	no	no	no	D-cap-model	I llavors busquem allà a fer sis propostes, es posen...	i va posar a posar-ho a la malaltia de la pròpia de l'estat de la realitat.	i, a bompes, busquem allà a fer sis propostes,
251	pa-019	bueno	clips/pa-019__bueno__328.25.wav	sí	no	no	C-un-model	Però bueno, la corrent aquesta jo crec que ja era a mi imperable.	Però no la curren aquesta, jo crec que ja ara m'imparàplau.  Home, però aquí veia que...	Però la corrent aquesta jo crec que ja era a mi imperable.
252	pa-020	bueno	clips/pa-020__bueno__13.57.wav	no	no	no	D-cap-model	Vam parlar ràpid i vam anar a la reunió, vam començar a parlar,	Potser va començar a parlar i vam veure amb l'àmbit.	i vam anar a la reunió, vam començar a parlar, vam veure'm a la màxima.
253	pa-021	bueno	clips/pa-021__bueno__12.25.wav	sí	sí	no	B-dos-models	i es va obligar, i, bueno, les hores, doncs,	que pliga i, bueno, és ara, doncs, em van convidar-ho.	i va ser el que va complir.
254	pa-022	bueno	clips/pa-022__bueno__122.85.wav	no	no	no	D-cap-model	que va ser amb arribar-te a aquest punt, ara toqui.	que va ser amb arribat amb aquest punt ara toque.	i el que ha passat és que el que ha passat és que el que ha passat
255	pa-023	bueno	clips/pa-023__bueno__96.81.wav	sí	no	sí	B-dos-models	bueno, de l'aldozo del niño...	de l'altosa de que n'hi he dit.	bueno, del aldosa de Caní,
256	pa-024	bueno	clips/pa-024__bueno__147.29.wav	no	no	no	D-cap-model	I això és el que ha passat al país.	de la societat i de l'oportunitat de l'oportunitat.	i que no hi hagi una altra manera de fer-ho.
257	pa-025	bueno	clips/pa-025__bueno__909.25.wav	no	no	no	D-cap-model	De fet, és el mateix moment, l'any 90, el que ens molesta.	El que ens molestiu és el mateix moment.  El que ens molestiu és el mateix moment.	El que ens molesta és que el que ens fa més malament
258	pa-026	bueno	clips/pa-026__bueno__194.89.wav	no	sí	sí	B-dos-models	Bé, ben proposat, ben guanyat les eleccions del 89.	i bueno, vam proposar, vam guanyar les eleccions avui tant o no.	i, bueno, ben proposat, ben guanyat les eleccions del 89,
259	pa-027	bueno	clips/pa-027__bueno__35.13.wav	no	no	sí	C-un-model	I bé, clar, jo per tot em va ser un cop,	I jo crec que va ser un cop, però jo crec que va ser un cop.	i, bueno, clar, per tu, va ser un cop,
260	pa-028	bueno	clips/pa-028__bueno__28.37.wav	no	no	no	D-cap-model	Bé, bé, bé, bé, bé, bé...  Bé, bé, bé, bé, bé, bé...	no ho sé, no ho sé, no ho sé.  Per l'aname la gent de Llea i va anomenar.	I el que em va dir és que no em va dir que no hi havia una persona.
261	pa-029	bueno	clips/pa-029__bueno__720.69.wav	no	no	no	D-cap-model	és menor, però aquestes dors són d'una manera important.	A més, menors, problemes que els dos són molt importants.	i a més menor, però aquestes dors són d'una manera important.
262	pa-030	bueno	clips/pa-030__bueno__459.05.wav	sí	sí	no	B-dos-models	No entenc massa, però bueno, no seré jo qui la canvio.	però bueno, no seré jo qui va canviar. Moltes coses.	No sé si ho entenc més o no, però no seré jo qui la canvio.
263	pa-031	bueno	clips/pa-031__bueno__111.73.wav	no	no	no	D-cap-model	A mi em pensava que jo pensava i els consellers, els companys de...	que jo pensava que les companys de la societat s'estava fent.	i pensàvem que jo pensava i els consellers, els companys de la...
264	pa-032	bueno	clips/pa-032__bueno__44.73.wav	sí	sí	sí	A-tres-models	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	I bueno, l'últim bapsig que quatre que ens ho vam apuntar i van dir que era que fàcil.	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.
265	pa-034	bueno	clips/pa-034__bueno__33.81.wav	no	no	no	D-cap-model	Vaig continuar, vaig pujar les escales...	Vaig continuar i vaig pujar les escales.	"i va dir ""bé, continuava"", i pujava les escales,"
266	pa-035	bueno	clips/pa-035__bueno__195.49.wav	no	no	no	D-cap-model	I, bé, ja he participat, doncs, una mica, una mica.	i jo vaig participar d'un amic, una mica.	I, ara, ja he vingut a participar, doncs, una mica.
267	pa-036	bueno	clips/pa-036__bueno__76.25.wav	no	no	no	D-cap-model	però, quan sentiu, és parlar d'aquesta gent  que està ben directament implicant-se  a la vida política de primera línia, tant d'Espanya.	però quan ho sentíves per la gent que està ben directament implicant  a la vida política de primera línia, tant d'Espanya.	però, com que sentiu, és parlar d'aquesta gent  que està ben directament implicant-se  la vida política de primera línia, tant d'Espanya.
268	pa-037	bueno	clips/pa-037__bueno__105.29.wav	sí	no	sí	B-dos-models	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	d'acompanyar-se, d'acompanyar-se.	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...
