ordre_triple	rang	prioritat_triple	id_persona	forma	interval_escolta	clip	token_prob_min	small	base	greedy	forma_en_qa	consens_dos_asr	text_qa	text_greedy	justificacio	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
153	2	B-triple-token-baix	pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	0.2229	sí	sí	sí	sí	sí	però dintre de la mateixa campana, o sigui, a la vora,	però dintre de la mateixa campana, o sigui, a la vora,  l'estructura no té res.	tres models amb probabilitat baixa	pendent					
154	2	B-triple-token-baix	pa-009	perquè	349.25-356.75	clips/pa-009__perqu__349.25.wav	0.2138	sí	sí	sí	sí	sí	perquè no hi ha exemplars com aquest i, més, tant ben conservats com el que us parlo ara.	perquè no hi ha exemplars com aquest i més, tant ben conservats, com el que us parlo ara.	tres models amb probabilitat baixa	pendent					
155	2	B-triple-token-baix	pa-040	perquè	25.21-30.07	clips/pa-040__perqu__25.21.wav	0.2038	sí	sí	sí	sí	sí	perquè considero que en d'hora necessita un nou estatut com...	perquè considero que en Dorre necessita un nou estatut com...	tres models amb probabilitat baixa	pendent					
156	2	B-triple-token-baix	pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	0.2017	sí	sí	sí	sí	sí	Doncs com podeu veure amb aquest esquema que tenim aquí al costat, tenim les parts de la campana.	Doncs com podeu veure amb aquest esquema que tenim aquí al costat, tenim les parts de la campana.	tres models amb probabilitat baixa	pendent					
157	2	B-triple-token-baix	pa-023	a veure	268.81-272.59	clips/pa-023__a-veure__268.81.wav	0.1996	sí	sí	sí	sí	sí	A veure, què és l'exemple del 92?	A veure, què és l'exemple del 92?	tres models amb probabilitat baixa	pendent					
158	2	B-triple-token-baix	pa-030	a veure	673.41-676.91	clips/pa-030__a-veure__673.41.wav	0.1988	sí	sí	sí	sí	sí	A veure, aquí que el diu una cosa.	A veure, aquí cal dir una cosa.	tres models amb probabilitat baixa	pendent					
159	2	B-triple-token-baix	pa-045	o sigui	226.17-233.31	clips/pa-045__o-sigui__226.17.wav	0.1907	sí	sí	sí	sí	sí	o sigui, què et motiva de la teva professió?	o sigui, què et motiva de la teva professió?	tres models amb probabilitat baixa	pendent					
160	2	B-triple-token-baix	pa-056	a veure	673.21-676.71	clips/pa-056__a-veure__673.21.wav	0.1806	sí	sí	sí	sí	sí	A veure, aquí que el diu una cosa.	A veure, aquí que el diu una cosa.	tres models amb probabilitat baixa	pendent					
161	2	B-triple-token-baix	pa-020	perquè	9.41-12.91	clips/pa-020__perqu__9.41.wav	0.1574	sí	sí	sí	sí	sí	perquè hi ha hagut aquella dimissió recent.	perquè hi havia una dimissió recent.	tres models amb probabilitat baixa	pendent					
162	2	B-triple-token-baix	pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	0.0641	sí	sí	sí	sí	sí	I el servei de servei, o sigui, tot té creació de nou serveis.  I, a més, dels serveis que eren necessaris en aquell moment.	i de la idea de servei.  O sigui, tot té creació de nous serveis.  I hi ha de més dels serveis que eren necessaris en aquell moment.	tres models amb probabilitat baixa	pendent					
163	2	B-triple-token-baix	pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	0.0626	sí	sí	sí	sí	sí	és a dir, una casa és tota la família i tot és les seves propietats.	és a dir, una casa és tota la família i tot és les seves propietats.	tres models amb probabilitat baixa	pendent					
164	2	B-triple-token-baix	pa-022	o sigui	42.93-48.95	clips/pa-022__o-sigui__42.93.wav	0.0430	sí	sí	sí	sí	sí	O sigui, al fondo el que es buscaveré tindrà una independència com a país.	No és res a fer, o sigui, el fondo, el que es buscaveré,  tindrà una independència com a país.	tres models amb probabilitat baixa	pendent					
165	2	B-triple-token-baix	pa-048	a veure	393.93-397.03	clips/pa-048__a-veure__393.93.wav	0.0287	sí	sí	sí	sí	sí	A veure, vostè com es diu?	que no és una cosa que no té res a veure.	tres models amb probabilitat baixa	pendent					
166	2	B-triple-token-baix	pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	0.0183	sí	sí	sí	sí	sí	llavors això lògicament li va mereixer un nom al carrer nacional i es caldes	i que es faci una feina de fàcil.  Llavors això, lògicament,  li va mereixer un nom al carrer nacional.	tres models amb probabilitat baixa	pendent					
167	2	B-triple-token-baix	pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav		sí	sí	sí	sí	no	i crec que finalment va acabar a força bé.	i crec que fina moment em va acabar a forçar bé.	tres models amb probabilitat baixa	pendent					
168	2	B-triple-token-baix	pa-001	perquè	59.57-63.31	clips/pa-001__perqu__59.57.wav		sí	sí	sí	sí	no	una desfasada perquè el que no es veien bons ulls a un...	perquè el que no es veiem, bons ulls, a un...	tres models amb probabilitat baixa	pendent					
169	2	B-triple-token-baix	pa-002	a nivell	714.25-724.75	clips/pa-002__a-nivell__714.25.wav		sí	sí	sí	sí	no	perquè l'opció de la minoria que va passar  és ser majoria, diguéssim, a nivell consell,  però no ho eren.	perquè l'opció de la minoria que va passar  és ser majoria, diguéssim, a nivell consell,  però no ho eren.	tres models amb probabilitat baixa	pendent					
170	2	B-triple-token-baix	pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav		sí	sí	sí	sí	no	que ha signat el canvi.  Ara, el que ens dividiria bé,  òbviament, era el control de govern.	que ha sigut el canvi.  Ara el que ens dividiria bé, òbviament, era el control de govern.	tres models amb probabilitat baixa	pendent					
171	2	B-triple-token-baix	pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav		sí	sí	sí	sí	no	Jo crec que més que espantar diria que no se'n coneixia el contingut.	Jo crec que més que espantar diria que no se'n coneixia el contingut.	tres models amb probabilitat baixa	pendent					
172	2	B-triple-token-baix	pa-002	perquè	18.25-23.75	clips/pa-002__perqu__18.25.wav		sí	sí	sí	sí	no	un putat, perquè no deixeu de veure els serveis dels copríncipes,	perquè no deixava de veure els serveis dels copríncipes que tot el ha venut.	tres models amb probabilitat baixa	pendent					
173	2	B-triple-token-baix	pa-003	a nivell	180.17-188.79	clips/pa-003__a-nivell__180.17.wav		sí	sí	sí	sí	no	El que fa a nivell polític, la primera vegada quan es crea l'amaternal, com he dit,	Aviam, pel que fa a nivell polític, la primera vegada quan es crea l'amaternal, com he dit,	tres models amb probabilitat baixa	pendent					
174	2	B-triple-token-baix	pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav		sí	sí	sí	sí	no	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	tres models amb probabilitat baixa	pendent					
175	2	B-triple-token-baix	pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav		sí	sí	sí	sí	no	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	tres models amb probabilitat baixa	pendent					
176	2	B-triple-token-baix	pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav		sí	sí	sí	sí	no	dels mestres evidentment i també de les persones que havíem estat treballant en el projecte.	dels mestres evidentment i també de les persones que havíem estat treballant en el projecte.	tres models amb probabilitat baixa	pendent					
177	2	B-triple-token-baix	pa-003	perquè	201.57-207.03	clips/pa-003__perqu__201.57.wav		sí	sí	sí	sí	no	d'executiu, perquè aleshores no era govern, era consell executiu,	i que el que ha de ser executiu, perquè aleshores no era govern, era consell executiu,	tres models amb probabilitat baixa	pendent					
178	2	B-triple-token-baix	pa-003	tirar endavant	361.93-366.63	clips/pa-003__tirar-endavant__361.93.wav		sí	sí	sí	sí	no	per crear i tirar endavant un sistema educatiu propi.	per crear i tirar endavant un sistema educatiu propi.	tres models amb probabilitat baixa	pendent					
179	2	B-triple-token-baix	pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav		sí	sí	sí	sí	no	És a dir, crec que això és important, no es crea com anem...	És a dir, crec que això és important.  No es crea com anem...	tres models amb probabilitat baixa	pendent					
180	2	B-triple-token-baix	pa-005	doncs	71.13-77.11	clips/pa-005__doncs__71.13.wav	0.6435;0.3084	sí	sí	sí	sí	sí	Doncs bé, doncs deveu demanar què és això dels hostals comunals.	Doncs bé, doncs deveu demanar què és això dels hostals comunals.	tres models amb probabilitat baixa	pendent					
181	2	B-triple-token-baix	pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav		sí	sí	sí	sí	no	que feien camp. Aleshores va aproficiar aquest retrobament, es va constituir...	que feien camp. Aleshores va aproficiar aquest retrobament, es va constituir...	tres models amb probabilitat baixa	pendent					
182	2	B-triple-token-baix	pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav		sí	sí	sí	sí	no	que em sofre i que va bé per la pell, pel sistema digestiu, i també té altres propietats.	que em sofre i que va bé per la pell, pel sistema digestiu i també té altres propietats.  Propietats que...	tres models amb probabilitat baixa	pendent					
183	2	B-triple-token-baix	pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav		sí	sí	sí	sí	sí	Bé, el resultat d'això va ser molt, molt bonic, perquè és a dir,  he conviscut amb gent, m'han explicat coses, m'han entrat,	Bé, el resultat d'això va ser molt bonic, perquè...  És a dir, he conviscut amb gent, m'han explicat coses,  m'han entrat i...	tres models amb probabilitat baixa	pendent					
184	2	B-triple-token-baix	pa-014	vull dir	19.65-30.15	clips/pa-014__vull-dir__19.65.wav		sí	sí	sí	sí	sí	el passat.  Així es començo jo sempre,  vull dir, com a voluntari divulgador del patrimoni  que tenim al nostre país.	el passat.  Així es començo jo sempre,  vull dir, com a voluntari divulgador del patrimoni  que tenim al nostre país.	tres models amb probabilitat baixa	pendent					
185	2	B-triple-token-baix	pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav		sí	sí	sí	sí	no	per tant, teníem clar al cap l'idea d'una constitució i la volia, sincerament.	per tant, teníem clar al cap la idea d'una constitució  i la volia, sincerament.	tres models amb probabilitat baixa	pendent					
186	2	B-triple-token-baix	pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav		sí	sí	sí	sí	no	I aleshores, la banda, jo crec que els carrers...	i que, per tant, jo crec que els carrers, desfocats,	tres models amb probabilitat baixa	pendent					
187	2	B-triple-token-baix	pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav		sí	sí	sí	sí	no	de fet, ens va dibuixar una mica la seva teoria.	de fet ens va dibuixar una mica la seva teoria.	tres models amb probabilitat baixa	pendent					
188	2	B-triple-token-baix	pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav		sí	sí	sí	sí	sí	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.	tres models amb probabilitat baixa	pendent					
189	2	B-triple-token-baix	pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav		sí	sí	sí	sí	sí	I aleshores, això està tan quadriculat	i, aleshores, això està tan quadriculat	tres models amb probabilitat baixa	pendent					
190	2	B-triple-token-baix	pa-030	doncs	43.53-48.63	clips/pa-030__doncs__43.53.wav		sí	sí	sí	sí	no	com estaven, doncs evidentment no era el nostre tarannà.  Per almenys el meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	tres models amb probabilitat baixa	pendent					
191	2	B-triple-token-baix	pa-030	tirar endavant	185.61-192.15	clips/pa-030__tirar-endavant__185.61.wav		sí	sí	sí	sí	no	d'acord? Doncs vam tirar endavant. Es va fer la connexió constituent.	que estem d'acord, doncs vam tirar endavant,  es va fer la comissió constituent,  i ja...	tres models amb probabilitat baixa	pendent					
192	2	B-triple-token-baix	pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav		sí	sí	sí	sí	no	I aleshores, els dos oponents es van posar d'acord al moment, al moment.	i, aleshores, els dos oponents es van posar d'acord al moment.  Al moment.	tres models amb probabilitat baixa	pendent					
193	2	B-triple-token-baix	pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	0.9744;0.9997	sí	sí	sí	sí	sí	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	i estem bé com estem i no ho toquem, que tot es fa molt bé.	tres models amb probabilitat baixa	pendent					
194	2	B-triple-token-baix	pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav		sí	sí	sí	sí	no	El capgir és tot, de fet, eh?	Ho capgira tot, de fet, eh?	tres models amb probabilitat baixa	pendent					
195	2	B-triple-token-baix	pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav		sí	sí	sí	sí	sí	és a dir, el govern net, és a dir, un govern sense massa funcions,	és a dir, un govern sense massa funcions,	tres models amb probabilitat baixa	pendent					
196	2	B-triple-token-baix	pa-045	a nivell	624.85-629.07	clips/pa-045__a-nivell__624.85.wav		sí	sí	sí	sí	no	No té cap importància, a nivell...	No t'he cap importància, a nivell...	tres models amb probabilitat baixa	pendent					
197	2	B-triple-token-baix	pa-045	perquè	175.33-183.63	clips/pa-045__perqu__175.33.wav		sí	sí	sí	sí	sí	Algú va fer això, no?  Perquè què va induir a fer aquesta obra?	Algú va fer això.  Perquè... què va induir?  A fer aquesta obra.	tres models amb probabilitat baixa	pendent					
198	2	B-triple-token-baix	pa-048	doncs	302.89-306.79	clips/pa-048__doncs__302.89.wav		sí	sí	sí	sí	no	els origens.  Bueno, doncs no maquem els origens, la pedra...	i els origens.  Bueno, doncs no amaguem els origens.	tres models amb probabilitat baixa	pendent					
199	2	B-triple-token-baix	pa-048	vull dir	993.69-999.19	clips/pa-048__vull-dir__993.69.wav	0.0263;0.4736	sí	sí	sí	sí	sí	Vull dir que amb això, vull dir que vostè, a través...	i que no hi hagi ningú que sigui igual.  Vull dir, amb això, vull dir que vostè, a través...	tres models amb probabilitat baixa	pendent					
200	2	B-triple-token-baix	pa-049	perquè	68.85-75.71	clips/pa-049__perqu__68.85.wav		sí	sí	sí	sí	sí	L'home ha cuidat els aferts exteriors i de la guerra.  Però aquesta és una frase feta perquè la llarga i sobretot entén.	L'home ha cuidat els aferts exteriors i de la guerra.  Però aquesta és una frase feta perquè la llarga i sobretot entén.	tres models amb probabilitat baixa	pendent					
201	2	B-triple-token-baix	pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav		sí	sí	sí	sí	no	No crec que arribi amb totes les ovelles de canillo sent.	No crec que arribi amb totes les ovelles de canillo sent.	tres models amb probabilitat baixa	pendent					
202	2	B-triple-token-baix	pa-051	perquè	123.85-128.35	clips/pa-051__perqu__123.85.wav		sí	sí	sí	sí	no	perquè els guardaven, els pollins els guardaven fins l'any que ve que eren sobre anys.	perquè els guardaven els pollins, els guardaven fins l'enquivècara,  en sobre anys.	tres models amb probabilitat baixa	pendent					
203	2	B-triple-token-baix	pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav		sí	sí	sí	sí	no	Hi ha de bona ajuda, que és clar, amb els meus padrins.	i, a més, un de aquests és clar, més meus padrins.	tres models amb probabilitat baixa	pendent					
204	2	B-triple-token-baix	pa-057	tirar endavant	56.61-63.15	clips/pa-057__tirar-endavant__56.61.wav		sí	sí	sí	sí	no	i que vesim també d'autodisoldre per la incapacitat de poder tirar endavant.	i que vesim també d'autodisoldre per la incapacitat de poder tirar endavant.	tres models amb probabilitat baixa	pendent					
205	2	B-triple-token-baix	pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav		sí	sí	sí	sí	sí	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	tres models amb probabilitat baixa	pendent					
206	2	B-triple-token-baix	pa-064	perquè	27.57-33.27	clips/pa-064__perqu__27.57.wav		sí	sí	sí	sí	sí	I no és permanent.  En realitat potser no és així perquè mai acabem de marxar.	i que no és permanent.  En realitat potser no és així perquè mai acabem de marxar.	tres models amb probabilitat baixa	pendent					
207	3	C-dos-models	pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	0.9995	sí	sí	no	sí	sí	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar	dos models; requereix contrast auditiu	pendent					
208	3	C-dos-models	pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	0.9990	sí	no	sí	sí	sí	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."	dos models; requereix contrast auditiu	pendent					
209	3	C-dos-models	pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	0.9916	sí	sí	no	sí	sí	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	i que no hi hagi una altra.	dos models; requereix contrast auditiu	pendent					
210	3	C-dos-models	pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	0.9914	sí	no	sí	sí	sí	fins a la prostitució no ja està bé.	fins a la prostitució no ja està bé.	dos models; requereix contrast auditiu	pendent					
211	3	C-dos-models	pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	0.9809	sí	sí	no	sí	sí	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	i que no es poden fer.  I això és molt important.	dos models; requereix contrast auditiu	pendent					
212	3	C-dos-models	pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	0.9709	sí	sí	no	sí	sí	No ho veiem perquè...  No ho veiem perquè per un luxe d'anar-ho a veure i per conservar-ho.	No ho veiem perquè...  No ho sé, no ho veiem.	dos models; requereix contrast auditiu	pendent					
213	3	C-dos-models	pa-013	perquè	433.89-442.03	clips/pa-013__perqu__433.89.wav	0.9497	sí	no	sí	sí	sí	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	perquè us sabem, doncs perquè es conserven múltiples testimonis fotogràfics  gràcies a Josep Elzina.	dos models; requereix contrast auditiu	pendent					
214	3	C-dos-models	pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	0.9195	sí	sí	no	sí	sí	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	que hi havia el mestre campaner al poble.	dos models; requereix contrast auditiu	pendent					
215	3	C-dos-models	pa-029	a nivell	417.09-421.47	clips/pa-029__a-nivell__417.09.wav	0.9070	sí	no	sí	sí	sí	que es volien els 4 a nivell nacional i l'aconseguiria.	i això ha de deixar a quatre,  a algú que els valta els quatre a nivell nacional.	dos models; requereix contrast auditiu	pendent					
216	3	C-dos-models	pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	0.9049	sí	sí	no	sí	sí	Bé, vull dir també, perquè cal recordar-ho.	i que no hi hagi una altra part de l'independentisme.	dos models; requereix contrast auditiu	pendent					
217	3	C-dos-models	pa-019	llavors	422.25-427.75	clips/pa-019__llavors__422.25.wav	0.9040	sí	no	sí	sí	sí	perquè ens donava eines per poder fer més coses  de les que podíem fer fins al llavors.  Aquest era el missatge.	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.	dos models; requereix contrast auditiu	pendent					
218	3	C-dos-models	pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	0.8872	sí	no	sí	sí	sí	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.	dos models; requereix contrast auditiu	pendent					
219	3	C-dos-models	pa-021	perquè	15.45-19.67	clips/pa-021__perqu__15.45.wav	0.8815	sí	no	sí	sí	sí	em van convèncer, doncs, perquè fos candidat.	perquè em van convèncer perquè fos candidat.	dos models; requereix contrast auditiu	pendent					
220	3	C-dos-models	pa-049	bueno	269.05-275.83	clips/pa-049__bueno__269.05.wav	0.8754	sí	no	sí	sí	sí	A vosaltres hi havia de més feia de... de més...  Sí, de més de descompte.  Bueno, de més de descompte...	-Aquí, a mi. -A vostra via de més feia de...  -De més... -De més de més de més de més de més de més.  Bueno, de més de més de...	dos models; requereix contrast auditiu	pendent					
221	3	C-dos-models	pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	0.8726	sí	sí	no	sí	sí	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	que no s'ha de fer.	dos models; requereix contrast auditiu	pendent					
222	3	C-dos-models	pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	0.8709	sí	sí	no	sí	sí	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	per a l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de	dos models; requereix contrast auditiu	pendent					
223	3	C-dos-models	pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	0.8695	sí	sí	no	sí	sí	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	que s'està fent.	dos models; requereix contrast auditiu	pendent					
224	3	C-dos-models	pa-055	a nivell	38.09-44.07	clips/pa-055__a-nivell__38.09.wav	0.8532	sí	no	sí	sí	sí	Però a nivell nacional, volia dir, per 89,	però a nivell nacional volia dir, per 89,	dos models; requereix contrast auditiu	pendent					
225	3	C-dos-models	pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	0.8283	sí	no	sí	sí	sí	i que crec que és prou encertada.	és Joan Grumines i que crec que és prou encertada.	dos models; requereix contrast auditiu	pendent					
226	3	C-dos-models	pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	0.8152	sí	sí	no	sí	sí	No vol dir que a nivell laboral la néixer.	i que no hi hagi una altra.	dos models; requereix contrast auditiu	pendent					
227	3	C-dos-models	pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	0.8126	sí	no	sí	sí	sí	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	perquè, clar, vull dir, tot el que veia és...  Dels exigències que tenien al centre.	dos models; requereix contrast auditiu	pendent					
228	3	C-dos-models	pa-023	a nivell	418.57-422.99	clips/pa-023__a-nivell__418.57.wav	0.8081	sí	no	sí	sí	sí	i després també a nivell d'agricultura.	i després també a nivell d'agricultura.	dos models; requereix contrast auditiu	pendent					
229	3	C-dos-models	pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	0.8041	sí	no	sí	sí	sí	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de les...	dos models; requereix contrast auditiu	pendent					
230	3	C-dos-models	pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	0.7983	sí	no	sí	sí	sí	que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.	que embutava el terra, de fet va haver-hi algun incident crement algun tendal.	dos models; requereix contrast auditiu	pendent					
231	3	C-dos-models	pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	0.7839	sí	sí	no	sí	sí	i va donar entendre que Sant Marino era Itàlia, de fet.	i van entendre que Sant Marino era d'Itàlia.	dos models; requereix contrast auditiu	pendent					
232	3	C-dos-models	pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	0.7829	sí	sí	no	sí	sí	per nosaltres, que se ens van apropant, diguem, per vosaltres.	que ens van apropar a vosaltres.	dos models; requereix contrast auditiu	pendent					
233	3	C-dos-models	pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	0.7736	sí	sí	no	sí	sí	per tant, clar, pot dir, més que a nivell familiar va ser posar...	i que no ens ha de fer res.	dos models; requereix contrast auditiu	pendent					
234	3	C-dos-models	pa-019	evidentment	93.25-97.75	clips/pa-019__evidentment__93.25.wav	0.7612	sí	no	sí	sí	sí	que va ser un factor que també, evidentment, posava una certa part.	que va ser un factor que també, evidentment, posava una certa...	dos models; requereix contrast auditiu	pendent					
235	3	C-dos-models	pa-016	llavors	15.05-20.91	clips/pa-016__llavors__15.05.wav	0.7574	sí	no	sí	sí	sí	i llavors li toca el meu marit ser darrere de contes, i és així.	i llavors li toca al meu marit ser redó de contès, i és així.	dos models; requereix contrast auditiu	pendent					
236	3	C-dos-models	pa-021	doncs	12.25-16.87	clips/pa-021__doncs__12.25.wav	0.7531	sí	sí	no	sí	sí	i es va obligar, i, bueno, les hores, doncs,	i va ser el que va complir.	dos models; requereix contrast auditiu	pendent					
237	3	C-dos-models	pa-029	diguem	929.69-935.51	clips/pa-029__diguem__929.69.wav	0.7442	sí	no	sí	sí	sí	però que no siguis un club, diguem-ho així.	però que no siguis un club, diguem-ho així.	dos models; requereix contrast auditiu	pendent					
238	3	C-dos-models	pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	0.7289	sí	sí	no	sí	sí	Tinc els noms, que evidentment no us els donaré.	i que no es pot fer.	dos models; requereix contrast auditiu	pendent					
239	3	C-dos-models	pa-033	diguem	49.01-55.91	clips/pa-033__diguem__49.01.wav	0.7151	sí	no	sí	sí	sí	normalment es revia amb... amb interès, diguem, es revia amb interès.	normalment es revia amb... amb interès, diguem.	dos models; requereix contrast auditiu	pendent					
240	3	C-dos-models	pa-042	perquè	29.13-33.43	clips/pa-042__perqu__29.13.wav	0.7110	sí	sí	no	sí	sí	a l'escola, més que res, perquè tenia els nens petits.	i que no hi hagi una escola.	dos models; requereix contrast auditiu	pendent					
241	3	C-dos-models	pa-055	a veure	63.89-68.59	clips/pa-055__a-veure__63.89.wav	0.7076	sí	no	sí	sí	sí	Sí, sí, a veure...	Sí, sí, a veure.	dos models; requereix contrast auditiu	pendent					
242	3	C-dos-models	pa-063	doncs	609.05-614.11	clips/pa-063__doncs__609.05.wav	0.7069	sí	no	sí	sí	sí	com sigui, doncs ho haurem de patir i s'ho haurà de fer,  i si no, no en sortirem.	i com sigui, doncs ho haurem de patir i s'haurà de fer,  i si no, no en sortirem.	dos models; requereix contrast auditiu	pendent					
243	3	C-dos-models	pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	0.7044	sí	sí	no	sí	sí	Aquí, aquí, els pasos perduts, el cas que aniva bé, un...	Aquí, aquí, aquí, els pasos perduts, el cas d'eniva ve un...	dos models; requereix contrast auditiu	pendent					
244	3	C-dos-models	pa-026	a veure	64.09-68.39	clips/pa-026__a-veure__64.09.wav	0.6966	sí	no	sí	sí	sí	Sí, sí, a veure.	Sí, és el que... a veure.	dos models; requereix contrast auditiu	pendent					
245	3	C-dos-models	pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	0.6888	sí	sí	no	sí	sí	com veia perquè ell, clar, l'edat que té nieve i tanta època.	i el que em va dir és que no em va dir que era un malalt.	dos models; requereix contrast auditiu	pendent					
246	3	C-dos-models	pa-065	crec	1276.85-1281.67	clips/pa-065__crec__1276.85.wav	0.6866	sí	no	sí	sí	sí	Sí, jo crec que... i aquests camins, i aquests cims...	Jo crec que... i aquests camins, i aquests cims...	dos models; requereix contrast auditiu	pendent					
247	3	C-dos-models	pa-063	clar	392.49-397.11	clips/pa-063__clar__392.49.wav	0.6773	sí	sí	no	sí	sí	Però clar, aquest és un primer basc i després donar tot el món.	i que no hi hagi un altre.	dos models; requereix contrast auditiu	pendent					
