id_global	sessio	persona	forma	categoria	clip	prioritat	prob_min	text_small	text_base	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	guia_observacio	estat
canon::pa-004::evidentment::s05-11	sessio-05	pa-004	evidentment	discurs	clips/pa-004__evidentment__522.93.wav	A-triple-token-fort	0.9676	sí	sí	242.56	182.81	0.340	434.36	2049.83	2923.89	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-035::crec::s05-12	sessio-05	pa-035	crec	morfosintaxi	clips/pa-035__crec__872.77.wav	A-triple-token-fort	0.9666	sí	sí	152.87	99.96	0.100	221.86	1231.96	2633.52	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-018::perquè::s05-13	sessio-05	pa-018	perquè	discurs	clips/pa-018__perqu__91.09.wav	A-triple-token-fort	0.9663	sí	sí	264.23	49.87	0.070	657.39	1698.80	2850.42	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-065::clar::s05-14	sessio-05	pa-065	clar	discurs	clips/pa-065__clar__221.29.wav	A-triple-token-fort	0.9627	sí	sí	237.63	139.14	0.100	1133.99	1569.61	2495.53	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-055::reformeta::s05-15	sessio-05	pa-055	reformeta	lèxic	clips/pa-055__reformeta__139.05.wav	A-triple-token-fort	0.9557	sí	sí	257.13	170.49	0.100	368.71	1818.78	2634.03	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-021::crec::s05-16	sessio-05	pa-021	crec	morfosintaxi	clips/pa-021__crec__115.53.wav	A-triple-token-fort	0.9550	sí	sí	184.66	154.39	0.060	527.62	2056.23	3683.17	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-026::reformeta::s05-17	sessio-05	pa-026	reformeta	lèxic	clips/pa-026__reformeta__138.61.wav	A-triple-token-fort	0.9543	sí	sí	255.30	162.43	0.080	1614.53	2453.52	3662.27	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-009::evidentment::s05-18	sessio-05	pa-009	evidentment	discurs	clips/pa-009__evidentment__947.25.wav	A-triple-token-fort	0.9520	sí	sí	196.21	61.41	0.140	457.97	1691.63	2233.40	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-027::crec::s05-19	sessio-05	pa-027	crec	morfosintaxi	clips/pa-027__crec__8.81.wav	A-triple-token-fort	0.9514	sí	sí	215.11	122.12	0.060	792.65	2476.69	3689.17	confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-016::clar::s05-20	sessio-05	pa-016	clar	discurs	clips/pa-016__clar__175.69.wav	A-triple-token-fort	0.9439	sí	sí	311.94	56.04	0.080	484.94	1190.58	2462.03	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-061::evidentment::s06-1	sessio-06	pa-061	evidentment	discurs	clips/pa-061__evidentment__672.69.wav	A-triple-token-fort	0.9005	sí	sí	245.91	104.22	0.080	401.74	1924.77	2365.01	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-029::tirar endavant::s06-2	sessio-06	pa-029	tirar endavant	lèxic	clips/pa-029__tirar-endavant__56.73.wav	A-triple-token-fort	0.8813	sí	sí	218.12	174.64	0.060	531.97	1679.56	2495.43	confirmar la paraula i el sentit; separar lèxic general, col·loquialisme, derivació i possible ús local	pendent d'audició
canon::pa-015::doncs::s06-3	sessio-06	pa-015	doncs	discurs	clips/pa-015__doncs__83.25.wav	A-triple-token-fort	0.8466	sí	sí	224.68	96.84	0.050	1655.08	2889.62	3626.41	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-028::doncs::s06-4	sessio-06	pa-028	doncs	discurs	clips/pa-028__doncs__329.33.wav	A-triple-token-fort	0.8421	sí	sí	142.45	21.92	0.080	208.97	1934.59	2471.57	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-060::de fet::s06-5	sessio-06	pa-060	de fet	discurs	clips/pa-060__de-fet__72.57.wav	A-triple-token-fort	0.8385	sí	sí	149.14	135.36	0.050	492.15	1921.29	2401.89	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-032::bueno::s06-6	sessio-06	pa-032	bueno	discurs	clips/pa-032__bueno__44.73.wav	A-triple-token-fort	0.8330	sí	sí	214.60	29.55	0.080	761.40	1934.99	2786.85	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-054::bueno::s06-7	sessio-06	pa-054	bueno	discurs	clips/pa-054__bueno__51.69.wav	A-triple-token-fort	0.8263	sí	sí	175.20	166.20	0.070	357.05	2260.92	3340.06	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-063::a nivell::s06-8	sessio-06	pa-063	a nivell	discurs	clips/pa-063__a-nivell__1143.61.wav	B-triple-token-baix	0.7218	sí	sí	183.16	20.51	0.100	402.79	1702.63	2771.91	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-046::diguem::s06-9	sessio-06	pa-046	diguem	discurs	clips/pa-046__diguem__626.01.wav	B-triple-token-baix	0.6911	sí	sí	252.75	74.97	0.080	485.41	1411.43	2465.02	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-001::crec::s06-10	sessio-06	pa-001	crec	morfosintaxi	clips/pa-001__crec__97.33.wav	B-triple-token-baix		sí	sí	219.23	67.73	0.100				confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-002::a nivell::s06-11	sessio-06	pa-002	a nivell	discurs	clips/pa-002__a-nivell__714.25.wav	B-triple-token-baix		sí	sí	283.90	130.92	0.060				confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-013::bé::s06-12	sessio-06	pa-013	bé	discurs	clips/pa-013__b__196.65.wav	B-triple-token-baix		sí	sí	301.12	129.61	0.040				confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-024::clar::s06-13	sessio-06	pa-024	clar	discurs	clips/pa-024__clar__648.09.wav	B-triple-token-baix		sí	sí	330.49	54.67	0.160				confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-033::bé::s06-14	sessio-06	pa-033	bé	discurs	clips/pa-033__b__103.09.wav	B-triple-token-baix	0.9744;0.9997	sí	sí	247.18	92.54	0.060	479.05	1742.93	2441.42	confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-051::crec::s06-15	sessio-06	pa-051	crec	morfosintaxi	clips/pa-051__crec__208.57.wav	B-triple-token-baix		sí	sí	221.57	130.24	0.040				confirmar persona, temps i règim verbal; escoltar pronúncia dels clítics i la prosòdia de la construcció	pendent d'audició
canon::pa-052::clar::s06-16	sessio-06	pa-052	clar	discurs	clips/pa-052__clar__59.97.wav	B-triple-token-baix		sí	sí	189.34	38.91	0.060				confirmar funció discursiva; escoltar reducció vocàlica, contacte entre mots, accent i frontera prosòdica	pendent d'audició
canon::pa-042::perquè::s06-17	sessio-06	pa-042	perquè	discurs	clips/pa-042__perqu__29.13.wav	C-dos-models	0.7110	sí	sí	253.02	55.03	0.080	547.75	1994.54	2496.87	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-012::perquè::s06-18	sessio-06	pa-012	perquè	discurs	clips/pa-012__perqu__369.25.wav	C-dos-models	0.6158	sí	no	270.21	38.99	0.180	433.36	1700.56	2252.79	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
canon::pa-053::perquè::s06-19	sessio-06	pa-053	perquè	discurs	clips/pa-053__perqu__113.93.wav	C-dos-models	0.6129	sí	sí	112.46	107.75	0.100	451.35	1634.60	2129.73	confirmar si és la forma candidata; escoltar vocals, consonants finals, ritme, pausa i entonació	pendent d'audició
