ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
138	A-triple-consens	9	pa-030	bé	436.45-441.63	clips/pa-030__b__436.45.wav	qa-clips/pa-030__be__436_45_441_63.txt	qa-clips-json/pa-030__b__436_45.json	no					a la llibertat de l'Estat o a la llibertat de l'Estat o a la llibertat de l'Estat.	sí	sí	sí	0.033	0.081	0.3643	-47.22	162.97	116.69	1637.11	0.060	pendent					
139	A-triple-consens	9	pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	qa-clips/pa-030__crec__346_45_352_99.txt	qa-clips-json/pa-030__crec__346_45.json	sí	348.180-348.510	0.9742	0.9742	crec	perquè jo crec que hi ha alguns que em donen la sensació	sí	sí	sí	0.022	0.054	0.4755	-39.11	273.60	172.02	1422.51	0.080	pendent					
140	A-triple-consens	9	pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	qa-clips/pa-030__evidentment__43_53_48_63.txt	qa-clips-json/pa-030__evidentment__43_53.json	sí	44.850-45.570	0.8964	0.9475	evidentment	com estaven, doncs evidentment no era el nostre tarannà.  Per almenys el meu.	sí	sí	sí	0.086	0.203	0.5512	-33.50	126.79	84.37	1098.39	0.060	pendent					
141	A-triple-consens	9	pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	qa-clips/pa-030__vull-dir__842_69_848_23.txt	qa-clips-json/pa-030__vull-dir__842_69.json	sí	843.370-844.350	0.9049	0.9470	vull dir	Bé, vull dir també, perquè cal recordar-ho.	sí	sí	sí	0.080	0.077	0.3659	-47.98	132.93	136.17	1481.10	0.120	pendent					
142	A-triple-consens	9	pa-030	és a dir	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	qa-clips/pa-030__es-a-dir__193_13_199_43.txt	qa-clips-json/pa-030__s-a-dir__193_13.json	sí	194.210-194.600	0.3545	0.7618	És a dir	i es van anar.  És a dir, aquí poc temps abans hi havia hagut una autodissolució.	sí	sí	sí	0.061	0.074	0.6242	-31.32	127.04	134.36	853.36	0.080	pendent					
143	A-triple-consens	9	pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	qa-clips/pa-031__crec__87_01_92_63.txt	qa-clips-json/pa-031__crec__87_01.json	sí	89.730-90.580	0.9956	0.9956	crec	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	sí	sí	sí	0.033	0.057	0.5607	-30.70	238.59	128.02	921.21	0.120	pendent					
144	A-triple-consens	9	pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	qa-clips/pa-031__de-fet__9_93_14_23.txt	qa-clips-json/pa-031__de-fet__9_93.json	sí	10.860-11.560	0.8205	0.8598	de fet	I, de fet, no em va portar ningú, jo em vaig portar...	sí	sí	sí	0.133	0.189	0.5374	-32.93	142.95	134.10	898.28	0.080	pendent					
145	A-triple-consens	9	pa-031	perquè	32.69-37.47	clips/pa-031__perqu__32.69.wav	qa-clips/pa-031__perque__32_69_37_47.txt	qa-clips-json/pa-031__perqu__32_69.json	sí	32.690-33.260	0.0697	0.0697	perquè	perquè tampoc ho hauria de massaclar i com podia anar.	sí	sí	sí	0.060	0.087	0.6008	-31.72	124.38	68.98	873.77	0.100	pendent					
146	A-triple-consens	9	pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	qa-clips/pa-032__bueno__44_73_50_63.txt	qa-clips-json/pa-032__bueno__44_73.json	sí	45.000-45.460	0.8330	0.8330	bueno	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	sí	sí	sí	0.065	0.065	0.4490	-36.98	214.60	29.55	938.40	0.080	pendent					
147	A-triple-consens	9	pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	qa-clips/pa-032__be__270_41_274_95.txt	qa-clips-json/pa-032__b__270_41.json	sí	273.530-273.660	0.7044	0.7044	bé	Aquí, aquí, els pasos perduts, el cas que aniva bé, un...	sí	sí	sí	0.044	0.073	0.5177	-34.19	239.97	80.29	986.18	0.120	pendent					
148	A-triple-consens	9	pa-032	clar	155.33-162.15	clips/pa-032__clar__155.33.wav	qa-clips/pa-032__clar__155_33_162_15.txt	qa-clips-json/pa-032__clar__155_33.json	sí	157.400-158.090	0.5817	0.5817	clar	Això és d'edat, i clar, això ja li teníem posat al cap.	sí	sí	sí	0.021	0.061	0.5941	-31.19	229.57	76.99	779.36	0.060	pendent					
149	A-triple-consens	9	pa-032	perquè	9.21-15.07	clips/pa-032__perqu__9.21.wav	qa-clips/pa-032__perque__9_21_15_07.txt	qa-clips-json/pa-032__perqu__9_21.json	sí	9.210-10.070	0.5112	0.5112	perquè	perquè has tancat l'aport a les 7 de la tarda.	sí	sí	sí	0.042	0.036	0.4932	-35.67	219.25	33.42	1009.15	0.090	pendent					
150	A-triple-consens	9	pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	qa-clips/pa-033__be__103_09_107_43.txt	qa-clips-json/pa-033__b__103_09.json	sí	104.060-104.300;106.160-106.280	0.9744;0.9997	0.9744;0.9997	bé;bé	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	sí	sí	sí	0.078	0.101	0.6991	-29.43	247.18	92.54	938.35	0.060	pendent					
151	A-triple-consens	9	pa-033	clar	54.49-57.67	clips/pa-033__clar__54.49.wav	qa-clips/pa-033__clar__54_49_57_67.txt	qa-clips-json/pa-033__clar__54_49.json	sí	56.490-56.830	0.4406	0.4406	clar	Si veiem interès per què, clar,	sí	sí	sí	0.122	0.101	0.5316	-33.02	293.67	148.01	1173.59	0.060	pendent					
152	A-triple-consens	9	pa-033	diguem	49.01-55.91	clips/pa-033__diguem__49.01.wav	qa-clips/pa-033__diguem__49_01_55_91.txt	qa-clips-json/pa-033__diguem__49_01.json	sí	54.140-54.540	0.7151	0.8271	diguem	normalment es revia amb... amb interès, diguem, es revia amb interès.	sí	sí	sí	0.122	0.105	0.4680	-36.20	293.66	97.37	1178.94	0.110	pendent					
153	A-triple-consens	9	pa-033	perquè	18.89-23.43	clips/pa-033__perqu__18.89.wav	qa-clips/pa-033__perque__18_89_23_43.txt	qa-clips-json/pa-033__perqu__18_89.json	sí	18.890-19.240	0.2034	0.2034	perquè	perquè recordeu que en aquella època els balles tenien una força...	sí	sí	sí	0.078	0.085	0.5796	-31.48	156.36	182.64	1016.13	0.060	pendent					
154	A-triple-consens	9	pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	qa-clips/pa-033__vull-dir__56_25_62_63.txt	qa-clips-json/pa-033__vull-dir__56_25.json	sí	56.860-57.140	0.8126	0.9022	vull dir	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	sí	sí	sí	0.059	0.101	0.5346	-34.32	286.95	118.91	1173.59	0.050	pendent					
155	A-triple-consens	9	pa-034	a nivell	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	qa-clips/pa-034__a-nivell__143_81_148_91.txt	qa-clips-json/pa-034__a-nivell__143_81.json	sí	146.510-147.170	0.7736	0.9192	a nivell	per tant, clar, pot dir, més que a nivell familiar va ser posar...	sí	sí	sí	0.039	0.101	0.6496	-28.84	189.48	132.68	919.21	0.120	pendent					
156	A-triple-consens	9	pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	qa-clips/pa-034__a-veure__94_05_100_39.txt	qa-clips-json/pa-034__a-veure__94_05.json	sí	95.230-96.040	0.9578	0.9626	a veure	Em va venir a veure, perquè, clar, ja sabia de començar a preparar,	sí	sí	sí	0.045	0.029	0.6677	-31.16	182.92	146.92	896.18	0.080	pendent					
157	A-triple-consens	9	pa-034	crec	651.65-657.27	clips/pa-034__crec__651.65.wav	qa-clips/pa-034__crec__651_65_657_27.txt	qa-clips-json/pa-034__crec__651_65.json	sí	654.190-654.290	0.6687	0.6687	crec	O com pot ser, vull dir, crec que pot ser fàcil, no?	sí	sí	sí	0.096	0.047	0.5929	-30.52	226.95	163.91	916.31	0.070	pendent					
158	A-triple-consens	9	pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	qa-clips/pa-034__diguem__504_45_508_51.txt	qa-clips-json/pa-034__diguem__504_45.json	sí	506.610-506.810	0.7193	0.8550	diguem	i moltes persones de la cor antenna, diguem, no?	sí	sí	sí	0.056	0.083	0.5693	-32.21	189.63	142.28	1050.73	0.060	pendent					
159	A-triple-consens	9	pa-034	reformeta	191.33-198.59	clips/pa-034__reformeta__191.33.wav	qa-clips/pa-034__reformeta__191_33_198_59.txt	qa-clips-json/pa-034__reformeta__191_33.json	sí	197.450-198.010	0.4659	0.7170	reformeta	que el país vol dir-ho necessitàvem.  Vull dir que estàveu fent de reformeta,	sí	sí	sí	0.109	0.042	0.5773	-31.63	200.62	111.49	915.86	0.090	pendent					
160	A-triple-consens	9	pa-034	tirar endavant	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	qa-clips/pa-034__tirar-endavant__690_33_695_67.txt	qa-clips-json/pa-034__tirar-endavant__690_33.json	sí	693.770-694.680	0.8661	0.9261	tirar endavant	Però, esclar, també d'entendre que si volíem tirar endavant.	sí	sí	sí	0.082	0.151	0.5451	-30.54	195.02	73.14	1059.38	0.080	pendent					
161	A-triple-consens	9	pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	qa-clips/pa-035__crec__872_77_879_91.txt	qa-clips-json/pa-035__crec__872_77.json	sí	873.430-873.500	0.9666	0.9666	crec	jo no crec que s'hagi de canviar massa, massa sovint d'una constitució.	sí	sí	sí	0.054	0.073	0.4663	-36.06	152.87	99.96	1372.30	0.100	pendent					
162	A-triple-consens	9	pa-035	perquè	181.13-186.35	clips/pa-035__perqu__181.13.wav	qa-clips/pa-035__perque__181_13_186_35.txt	qa-clips-json/pa-035__perqu__181_13.json	sí	181.200-181.210	0.6201	0.6201	perquè	perquè hi havia molts endorrans reticents.	sí	sí	sí	0.026	0.070	0.4538	-37.01	130.79	26.76	1437.93	0.100	pendent					
163	A-triple-consens	9	pa-035	és a dir	582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	qa-clips/pa-035__es-a-dir__582_29_589_75.txt	qa-clips-json/pa-035__s-a-dir__582_29.json	sí	582.290-583.040	0.1928	0.5961	És a dir	És a dir, fer un estat de dret modern amb la separació de poders.	sí	sí	sí	0.029	0.034	0.3817	-46.79	135.83	63.45	1558.71	0.080	pendent					
164	A-triple-consens	9	pa-036	a nivell	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	qa-clips/pa-036__a-nivell__386_45_395_95.txt	qa-clips-json/pa-036__a-nivell__386_45.json	sí	394.030-394.500	0.8938	0.9572	a nivell	Tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	sí	sí	sí	0.239	0.129	0.7046	-28.95	261.35	157.04	1054.11	0.060	pendent					
165	A-triple-consens	9	pa-036	a veure	153.05-160.15	clips/pa-036__a-veure__153.05.wav	qa-clips/pa-036__a-veure__153_05_160_15.txt	qa-clips-json/pa-036__a-veure__153_05.json	sí	154.150-154.550	0.4770	0.6078	a veure	i els consellers a veure i companys diputats de l'Assemblea Nacional de França o BD Madrid.	sí	sí	sí	0.358	0.093	0.6723	-28.70	266.78	155.02	1150.25	0.080	pendent					
166	A-triple-consens	9	pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	qa-clips/pa-036__be__69_45_75_15.txt	qa-clips-json/pa-036__b__69_45.json	sí	71.960-72.170	0.9995	0.9995	bé	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	sí	sí	sí	0.184	0.070	0.6761	-29.25	264.50	174.81	1083.57	0.050	pendent					
167	A-triple-consens	9	pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	qa-clips/pa-036__clar__136_45_147_15.txt	qa-clips-json/pa-036__clar__136_45.json	sí	141.540-141.720	0.8695	0.8695	clar	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	sí	sí	sí	0.139	0.037	0.6948	-28.88	274.88	138.07	1071.23	0.100	pendent					
168	A-triple-consens	9	pa-036	doncs	367.25-376.75	clips/pa-036__doncs__367.25.wav	qa-clips/pa-036__doncs__367_25_376_75.txt	qa-clips-json/pa-036__doncs__367_25.json	sí	372.250-372.620	0.5064	0.5064	Doncs	"i dic ""opi, vols que ens trobem que ens parlen d'això i ens proposin això?""  Doncs nosaltres ja hem d'anar, hem de fer la Constitució."	sí	sí	sí	0.152	0.161	0.5865	-32.61	244.62	146.37	1021.37	0.080	pendent					
169	A-triple-consens	9	pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	qa-clips/pa-036__evidentment__202_85_211_95.txt	qa-clips-json/pa-036__evidentment__202_85.json	sí	207.950-208.420	0.9393	0.9652	evidentment	A més enllà, ens va costar fer aquest pas important,  després, evidentment, entrem a la legislatura crítica  o a la més forta que hi ha.	sí	sí	sí	0.234	0.090	0.6652	-30.93	253.66	149.40	1032.24	0.060	pendent					
170	A-triple-consens	9	pa-036	perquè	15.65-20.75	clips/pa-036__perqu__15.65.wav	qa-clips/pa-036__perque__15_65_20_75.txt	qa-clips-json/pa-036__perqu__15_65.json	sí	18.120-18.290	0.2664	0.2664	perquè	A tu disseri, ens vam quedar una mica parats perquè nosaltres volíem anar més lluny.	sí	sí	sí	0.099	0.114	0.7795	-28.35	274.47	90.90	937.46	0.060	pendent					
171	A-triple-consens	9	pa-036	vull dir	632.25-637.75	clips/pa-036__vull-dir__632.25.wav	qa-clips/pa-036__vull-dir__632_25_637_75.txt	qa-clips-json/pa-036__vull-dir__632_25.json	sí	632.250-632.800	0.0457	0.4205	Vull dir	Vull dir que era el nou reglament, el nou sistema.  Veius les dues coses, penso que la Constitució...	sí	sí	sí	0.234	0.052	0.7226	-28.87	259.34	127.40	884.97	0.090	pendent					
172	A-triple-consens	9	pa-037	bueno	105.29-124.79	clips/pa-037__bueno__105.29.wav	qa-clips/pa-037__bueno__105_29_124_79.txt	qa-clips-json/pa-037__bueno__105_29.json	sí	111.940-112.240	0.6636	0.6636	bueno	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	sí	sí	sí	0.051	0.057	0.4795	-35.59	232.63	147.67	1094.50	0.080	pendent					
173	A-triple-consens	9	pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	qa-clips/pa-037__be__105_29_124_79.txt	qa-clips-json/pa-037__b__105_29.json	sí	115.820-116.790;118.480-119.150;120.250-120.680;121.180-121.500;123.780-123.950	0.9336;0.4035;0.9620;0.9723;0.3064	0.9336;0.4035;0.9620;0.9723;0.3064	bé;bé;bé;bé;bé	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	sí	sí	sí	0.025	0.023	0.4795	-35.59	232.63	147.67	1094.50	0.080	pendent					
174	A-triple-consens	9	pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	qa-clips/pa-037__diguem__469_77_482_03.txt	qa-clips-json/pa-037__diguem__469_77.json	sí	477.950-478.010	0.7388	0.7902	diguem	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així,  durant una hora o més.	sí	sí	sí	0.055	0.208	0.4395	-38.32	242.06	188.40	1334.90	0.100	pendent					
175	A-triple-consens	9	pa-037	doncs	20.49-28.07	clips/pa-037__doncs__20.49.wav	qa-clips/pa-037__doncs__20_49_28_07.txt	qa-clips-json/pa-037__doncs__20_49.json	sí	20.760-21.240	0.6135	0.8066	doncs	I, doncs, quan va arribar el consell constituent,  ha vint arribar també amb bastant tensos  i l'enriquia es van posar.	sí	sí	sí	0.056	0.103	0.5423	-32.78	233.08	142.70	927.35	0.090	pendent					
176	A-triple-consens	9	pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	qa-clips/pa-037__llavors__92_53_106_79.txt	qa-clips-json/pa-037__llavors__92_53.json	sí	95.750-96.000	0.7037	0.8417	llavors	I jo era així, i a bon dia ja, des de llavors,  encara cada any es fa el dia 2 de febrer,  fem un dinar o un trobar de tot el constituent.	sí	sí	sí	0.024	0.141	0.5309	-33.46	237.28	143.75	1302.81	0.060	pendent					
177	A-triple-consens	9	pa-037	perquè	186.29-198.91	clips/pa-037__perqu__186.29.wav	qa-clips/pa-037__perque__186_29_198_91.txt	qa-clips-json/pa-037__perqu__186_29.json	sí	194.770-195.430	0.3810	0.3810	Perquè	Després, clar, quan va arribar cap al final de tot, ens van informar més.  Perquè a final havíem de votar que sí, sinó...	sí	sí	sí	0.012	0.027	0.3873	-39.23	145.04	154.08	1255.14	0.090	pendent					
178	A-triple-consens	9	pa-037	vull dir	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	qa-clips/pa-037__vull-dir__414_01_426_11.txt	qa-clips-json/pa-037__vull-dir__414_01.json	sí	414.010-414.700	0.2914	0.7625	Vull dir	Vull dir que una setefesó personal, sí que aquí mateix,  com he dit abans, perquè sabia que hi havia tensions entre els copríncepts.	sí	sí	sí	0.031	0.052	0.4536	-37.37	240.41	152.06	1234.49	0.080	pendent					
179	A-triple-consens	9	pa-038	a nivell	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	qa-clips/pa-038__a-nivell__455_49_460_15.txt	qa-clips-json/pa-038__a-nivell__455_49.json	sí	456.140-456.640	0.5767	0.8263	a nivell	per dir-ho a nivell de negocis, el que sigui, això va molt bé.	sí	sí	sí	0.061	0.039	0.5776	-32.58	202.43	61.67	1191.24	0.060	pendent					
180	A-triple-consens	9	pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	qa-clips/pa-038__bueno__874_61_878_11.txt	qa-clips-json/pa-038__bueno__874_61.json	sí	874.720-875.270	0.5072	0.7518	Bueno	"""Bueno, vale, ¿no?"""	sí	sí	sí	0.067	0.073	0.5575	-32.28	213.88	76.25	1335.91	0.200	pendent					
181	A-triple-consens	9	pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	qa-clips/pa-038__be__26_77_31_71.txt	qa-clips-json/pa-038__b__26_77.json	sí	27.580-27.770	0.9083	0.9083	bé	No està bé considerada com un estat real.	sí	sí	sí	0.021	0.115	0.5569	-33.03	202.18	48.47	1192.19	0.120	pendent					
182	A-triple-consens	9	pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	qa-clips/pa-038__clar__96_41_101_31.txt	qa-clips-json/pa-038__clar__96_41.json	sí	99.860-100.220	0.6020	0.6020	clar	però la meva motivació, us ho dic clar, va ser...	sí	sí	sí	0.052	0.071	0.5451	-33.96	208.38	53.16	1186.98	0.100	pendent					
183	A-triple-consens	9	pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	qa-clips/pa-038__crec__220_69_226_79.txt	qa-clips-json/pa-038__crec__220_69.json	sí	221.700-222.280	0.9981	0.9981	crec	Bé, jo crec que l'atac de nacionalisme que ens va moure...	sí	sí	sí	0.094	0.042	0.5526	-33.13	200.57	110.59	1325.81	0.100	pendent					
184	A-triple-consens	9	pa-038	llavors	264.13-269.83	clips/pa-038__llavors__264.13.wav	qa-clips/pa-038__llavors__264_13_269_83.txt	qa-clips-json/pa-038__llavors__264_13.json	sí	264.130-264.890	0.0343	0.5133	Llavors	Llavors, això va ser la meva motivació principal,  va ser que la màgia...	sí	sí	sí	0.019	0.124	0.4401	-36.97	188.07	15.52	1130.76	0.100	pendent					
185	A-triple-consens	9	pa-038	o sigui	16.65-22.87	clips/pa-038__o-sigui__16.65.wav	qa-clips/pa-038__o-sigui__16_65_22_87.txt	qa-clips-json/pa-038__o-sigui__16_65.json	sí	16.650-17.500	0.1004	0.5462	O sigui	O sigui, en Dorre, malgrat ser un dels parlaments,	sí	sí	sí	0.037	0.051	0.5548	-33.39	196.49	23.50	1155.10	0.200	pendent					
186	A-triple-consens	9	pa-038	perquè	279.13-283.51	clips/pa-038__perqu__279.13.wav	qa-clips/pa-038__perque__279_13_283_51.txt	qa-clips-json/pa-038__perqu__279_13.json	sí	279.550-279.920	0.5824	0.5824	perquè	sobretot perquè els delegats permanents han continuat.	sí	sí	sí	0.019	0.047	0.5000	-35.50	204.86	65.32	1225.88	0.060	pendent					
187	A-triple-consens	9	pa-038	reformeta	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	qa-clips/pa-038__reformeta__1821_69_1828_07.txt	qa-clips-json/pa-038__reformeta__1821_69.json	sí	1824.530-1825.400	0.9688	0.9812	reformeta	o com vulguis, segueixen contentat amb una reformeta.	sí	sí	sí	0.032	0.107	0.4874	-35.83	201.34	35.56	1340.70	0.090	pendent					
188	A-triple-consens	9	pa-038	vull dir	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	qa-clips/pa-038__vull-dir__1576_57_1582_39.txt	qa-clips-json/pa-038__vull-dir__1576_57.json	sí	1580.750-1581.210	0.9837	0.9868	vull dir	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	sí	sí	sí	0.150	0.043	0.5241	-32.85	217.16	80.76	1340.25	0.180	pendent					
189	A-triple-consens	9	pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	qa-clips/pa-039__be__27_77_32_03.txt	qa-clips-json/pa-039__b__27_77.json	sí	30.990-31.040	0.9914	0.9914	bé	fins a la prostitució no ja està bé.	sí	sí	sí	0.049	0.094	0.3821	-40.98	154.90	81.55	1638.45	0.140	pendent					
190	A-triple-consens	9	pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	qa-clips/pa-039__crec__90_85_95_95.txt	qa-clips-json/pa-039__crec__90_85.json	sí	92.490-92.800	0.9907	0.9907	crec	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	sí	sí	sí	0.072	0.091	0.5000	-35.30	180.97	163.35	1637.74	0.080	pendent					
191	A-triple-consens	9	pa-039	evidentment	184.17-188.67	clips/pa-039__evidentment__184.17.wav	qa-clips/pa-039__evidentment__184_17_188_67.txt	qa-clips-json/pa-039__evidentment__184_17.json	sí	184.170-185.080	0.2293	0.7355	Evidentment	Evidentment, la siniciatura, claro.	sí	sí	sí	0.194	0.079	0.2455	-45.73	174.79	188.09	1868.79	0.130	pendent					
192	A-triple-consens	9	pa-039	perquè	18.09-21.31	clips/pa-039__perqu__18.09.wav	qa-clips/pa-039__perque__18_09_21_31.txt	qa-clips-json/pa-039__perqu__18_09.json	sí	18.090-18.660	0.0785	0.0785	perquè	perquè això era xins.	sí	sí	sí	0.034	0.158	0.4875	-35.54	147.39	34.90	1804.06	0.120	pendent					
193	A-triple-consens	9	pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	qa-clips/pa-040__crec__4_37_7_79.txt	qa-clips-json/pa-040__crec__4_37.json	sí	4.550-4.900	0.9886	0.9886	crec	Jo crec que he pogut entrar en càrregues.	sí	sí	sí	0.015	0.073	0.6294	-25.62	237.46	80.80	1242.13	0.100	pendent					
194	A-triple-consens	9	pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	qa-clips/pa-040__de-fet__70_17_73_51.txt	qa-clips-json/pa-040__de-fet__70_17.json	sí	71.250-71.550	0.9576	0.9750	de fet	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	sí	sí	sí	0.076	0.050	0.6687	-30.42	179.13	99.23	1067.71	0.040	pendent					
195	A-triple-consens	9	pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	qa-clips/pa-040__evidentment__103_93_106_95.txt	qa-clips-json/pa-040__evidentment__103_93.json	sí	105.810-106.120	0.8726	0.9560	Evidentment	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	sí	sí	sí	0.077	0.123	0.7267	-31.23	206.39	125.17	1104.92	0.040	pendent					
196	A-triple-consens	9	pa-040	perquè	25.21-30.07	clips/pa-040__perqu__25.21.wav	qa-clips/pa-040__perque__25_21_30_07.txt	qa-clips-json/pa-040__perqu__25_21.json	sí	25.210-25.720	0.2038	0.2038	perquè	perquè considero que en d'hora necessita un nou estatut com...	sí	sí	sí	0.040	0.109	0.5826	-33.15	200.79	102.10	988.33	0.050	pendent					
197	A-triple-consens	9	pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	qa-clips/pa-041__be__130_25_137_75.txt	qa-clips-json/pa-041__b__130_25.json	sí	130.250-130.690	0.2875	0.6432	Bé	Bé, jo crec que hi havia persones més receptives	sí	sí	sí	0.140	0.033	0.5882	-31.17	197.00	130.83	1046.84	0.040	pendent					
198	A-triple-consens	9	pa-041	clar	0.00-10.75	clips/pa-041__clar__0.00.wav	qa-clips/pa-041__clar__0_00_10_75.txt	qa-clips-json/pa-041__clar__0_00.json	sí	3.880-4.480	0.3376	0.3376	clar	Al principi es va començar amb 38 alumnes i clar amb els 5 o 6 anys que jo vaig col·laborar amb l'escola endurrana va anar a créixer.	sí	sí	sí	0.031	0.116	0.5243	-33.96	287.66	113.38	1002.31	0.080	pendent					
199	A-triple-consens	9	pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	qa-clips/pa-041__crec__56_25_62_75.txt	qa-clips-json/pa-041__crec__56_25.json	sí	57.560-58.060	0.9905	0.9905	crec	als pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	sí	sí	sí	0.140	0.053	0.6019	-31.34	269.74	137.42	1030.72	0.040	pendent					
200	A-triple-consens	9	pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	qa-clips/pa-041__ensenyanca__523_25_531_75.txt	qa-clips-json/pa-041__ensenyan-a__523_25.json	sí	529.520-530.190	0.7954	0.8194	ensenyança	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança.	sí	sí	sí	0.441	0.101	0.6108	-29.73	204.13	80.28	1097.69	0.080	pendent					
201	A-triple-consens	9	pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	qa-clips/pa-041__evidentment__353_25_360_75.txt	qa-clips-json/pa-041__evidentment__353_25.json	sí	357.320-357.750	0.5787	0.7876	evidentment	amb la responsabilitat, amb les persones que hi treballàvem, evidentment,  per dir, és que això no és una cosa per ara,	sí	sí	sí	0.446	0.080	0.6497	-28.93	268.18	113.40	1029.40	0.060	pendent					
202	A-triple-consens	9	pa-041	perquè	69.25-76.75	clips/pa-041__perqu__69.25.wav	qa-clips/pa-041__perque__69_25_76_75.txt	qa-clips-json/pa-041__perqu__69_25.json	sí	73.140-73.580	0.2885	0.2885	perquè	i per tant parlaven amb altres pares perquè portessin els fills a l'escola en Dorana.	sí	sí	sí	0.031	0.109	0.5642	-33.25	296.07	59.59	1044.21	0.060	pendent					
203	A-triple-consens	9	pa-042	perquè	29.13-33.43	clips/pa-042__perqu__29.13.wav	qa-clips/pa-042__perque__29_13_33_43.txt	qa-clips-json/pa-042__perqu__29_13.json	sí	31.230-31.590	0.7110	0.7110	perquè	a l'escola, més que res, perquè tenia els nens petits.	sí	sí	sí	0.088	0.060	0.6075	-29.27	253.02	55.03	1496.88	0.080	pendent					
