id_persona	forma	interval_escolta	clip	sha256	transcripcio_greedy	text_greedy	forma_en_greedy
pa-058	perquè	91.09-96.47	clips/pa-058__perqu__91.09.wav	17c00630e6e803a985f847462ce1cc0756a6d99fe77b0dbc37d90092396a6b3a	qa-clips-forts-greedy/pa-058__perque__91_09_96_47.txt	i resòria, perquè no podíem acabar mai de decidir que una cosa...	sí
pa-058	és a dir	74.41-79.87	clips/pa-058__s-a-dir__74.41.wav	3270b5a32a26b56d13f5e7a311d8571acb19fbe6c6b2bdb68cc78cd598fafc4b	qa-clips-forts-greedy/pa-058__es-a-dir__74_41_79_87.txt	i que no hi hagi una persona que no hagi tingut un lloc.	no
pa-059	clar	36.61-42.23	clips/pa-059__clar__36.61.wav	64525ab92616f6fedb386d04f9fc635597e6aa9ae86b52c7e2994a02ffa36894	qa-clips-forts-greedy/pa-059__clar__36_61_42_23.txt	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	sí
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	c9b4a528445a1057a5f3a047b6e68cb9f6ab9e2db61b98a7394c4753d3c7d8a6	qa-clips-forts-greedy/pa-060__de-fet__72_57_78_35.txt	d'explicatures que van ocupar 4 anys, de fet.	sí
pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	2988f083a7f5e0dc979eb4f7a47795da07d26dcb6cfe574fdd5b7b2a92f5963c	qa-clips-forts-greedy/pa-061__a-nivell__1357_21_1360_71.txt	i que no hi hagi una altra.	no
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	b1b47f70bd65d620b7a68085c54a4ee30b62c2cb8a28e36b00b33c36c4e950ae	qa-clips-forts-greedy/pa-061__crec__428_85_435_63.txt	i que no es poden fer.  I això és molt important.	no
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	da1fae8a0550bf441d3b25ac4671a7766b80593b26baeda24f8f4d57d0910889	qa-clips-forts-greedy/pa-061__evidentment__672_69_677_43.txt	i després hi havia el factor, evidentment, diferent,  si el deprem clar.	sí
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	8693c3c984493a7c9b96f618cf5368e56a7669a6b873c54873d7de6741f1f2e3	qa-clips-forts-greedy/pa-062__crec__1037_89_1041_47.txt	i el va callar. Jo crec que has tallat el pernil.	sí
pa-062	perquè	73.97-78.19	clips/pa-062__perqu__73.97.wav	7070b669e8f307c0f0bb661f510a478ec77f06c192911d26336bd1760525586b	qa-clips-forts-greedy/pa-062__perque__73_97_78_19.txt	Avui és un bon dia perquè amb una copa de bombi a la mà ens desperta.	sí
pa-064	a veure	587.61-591.67	clips/pa-064__a-veure__587.61.wav	d2b367717082674c001d5c114930374201ac81a40b44b1fc5d7f1e21b2e8fe9c	qa-clips-forts-greedy/pa-064__a-veure__587_61_591_67.txt	No s'ha tornat a veure amb els anys.	sí
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	24e38c2296ecdbeecbcad313fbb71537d83c359247b9d9f8bf54853b2cdc92cc	qa-clips-forts-greedy/pa-064__crec__1335_77_1345_39.txt	La família, jo crec que és l'essència de viure bé i en pau.	sí
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	13d706fe597ebef3b508b59a531d16f8db00f85915f3493c1489e5b33de6329c	qa-clips-forts-greedy/pa-065__be__138_57_144_67.txt	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar	no
pa-065	clar	221.29-226.15	clips/pa-065__clar__221.29.wav	547318df114e2471986fb9928eb93f947d264d0a16c6ebc99e598df803658079	qa-clips-forts-greedy/pa-065__clar__221_29_226_15.txt	Jo tinc clar que l'Evangeli és on tinc el macar.	sí
pa-065	perquè	129.17-134.51	clips/pa-065__perqu__129.17.wav	eb219b11a8c0b1ce377bc1296b53d7c88e40f5abd3701e30f5a3bd91c345681c	qa-clips-forts-greedy/pa-065__perque__129_17_134_51.txt	i el paradís.  Però un viu, perquè el paradís no existeix.	sí
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	8ed8e7a1a01fb2743b592fc06dad5b50f6e56f99256fe92029fa58f22ff2b7a7	qa-clips-forts-greedy/pa-066__bueno__357_23_362_57.txt	i, bueno, jo recordo que he passat...	sí
