expedient	model	tokens	tipus_lexics	type_token_ratio	repeticio_3gram	marcadors_discursius	formes_territorials	formes_contacte	pronoms_clitics	perifrasi_past_aparent	primera_persona	negacio	nota	estat
lead-yt-045-arnau-rius	base	3627	854	0.2355	0.2380	bé=9;bueno=19;clar=13;doncs=8;llavors=4;de fet=1;vull dir=1;a veure=1;per tant=1;a nivell=1;no?=21			361	19	8	131	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-046-alberto-villagrasa	small	3015	769	0.2551	0.0885	bé=3;bueno=10;clar=16;doncs=4;llavors=1;és a dir=6;o sigui=1;a veure=3;evidentment=1;no?=6	comú=3	castellà=1;espanyol=1	291	16	25	60	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-046-alberto-villagrasa	base	2976	807	0.2712	0.0599	bé=4;bueno=9;clar=10;doncs=5;és a dir=4;o sigui=1;a veure=2;aviam=1;evidentment=1;no?=10	comú=2	castellà=1;espanyol=1	291	17	22	67	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-047-katia-ustina	small	2100	694	0.3305	0.0340	bé=12;bueno=23;doncs=1;llavors=1;o sigui=3;per tant=1;no?=2			213	11	6	42	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-047-katia-ustina	base	2093	700	0.3344	0.0377	bé=7;bueno=22;doncs=2;o sigui=1;diguem=1;no?=1			199	9	13	46	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-048-ander-mirambell	small	5493	1381	0.2514	0.0927	bé=21;bueno=17;clar=15;doncs=9;llavors=1;és a dir=8;a veure=4;per tant=4;a nivell=4;no?=16	comú=1	espanyol=6;espanyola=4	561	78	39	169	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-048-ander-mirambell	base	5563	1458	0.2621	0.0781	bé=20;bueno=16;clar=11;doncs=2;és a dir=9;o sigui=1;a veure=2;per tant=5;a nivell=4;no?=13	comú=2	espanyol=9;espanyola=3	566	81	40	169	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-049-joan-piquet	small	3564	887	0.2489	0.1014	bé=1;bueno=9;clar=1;doncs=8;llavors=14;de fet=1;és a dir=2;o sigui=1;vull dir=1;a veure=3;aviam=4;diguem=5;evidentment=3;per tant=5;a nivell=1;no?=4			346	14	27	76	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-049-joan-piquet	base	3548	939	0.2647	0.0745	bé=2;bueno=10;clar=1;doncs=2;llavors=12;de fet=1;és a dir=2;o sigui=1;vull dir=2;a veure=4;aviam=2;diguem=4;evidentment=3;per tant=5;a nivell=1;no?=8			340	16	30	86	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-050-pau-chica	small	6306	1399	0.2219	0.0665	bé=17;bueno=7;clar=19;doncs=21;llavors=9;és a dir=13;vull dir=2;a veure=3;evidentment=22;per tant=18;a nivell=3;no?=22	parròquia=1;comuns=1;comunal=1;Canillo=1;Ordino=1	espanyol=2;espanyola=6;francès=3;francesa=1	651	57	38	142	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-050-pau-chica	base	6282	1469	0.2338	0.0606	bé=19;bueno=6;clar=14;doncs=26;llavors=4;de fet=2;és a dir=9;vull dir=1;a veure=4;evidentment=21;per tant=11;a nivell=3;no?=20	andorrana=1;parròquia=1;comunals=1;principat=2	espanyol=2;espanyola=6;francès=1;francesa=1	697	58	39	138	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-051-albert-vilaro	small	2164	682	0.3152	0.0510	bé=12;bueno=3;clar=11;doncs=4;de fet=1;és a dir=6;vull dir=1;a veure=3;aviam=2;diguem=2;per tant=1;no?=1			243	12	10	51	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-051-albert-vilaro	base	2200	690	0.3136	0.0407	bé=17;bueno=3;clar=12;doncs=8;és a dir=2;vull dir=1;a veure=2;aviam=1;diguem=1;per tant=1;no?=1			246	17	11	63	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-052-valenti-closa	small	6023	1410	0.2341	0.0742	bé=25;bueno=39;clar=14;doncs=10;llavors=25;de fet=2;és a dir=2;o sigui=14;vull dir=1;a veure=3;aviam=4;per tant=2;a nivell=1;no?=19	parròquia=7;comú=2;padrí=1;Escaldes=7;Sant Julià=1	espanyola=1;francès=4;francesa=2	599	71	72	136	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-052-valenti-closa	base	6149	1509	0.2454	0.0722	bé=30;bueno=35;clar=11;doncs=4;llavors=9;de fet=2;o sigui=12;vull dir=1;a veure=4;aviam=1;per tant=1;a nivell=1;no?=25	parròquia=5;comú=2;padrí=1;Escaldes=6	espanyola=1;francesa=3	623	68	66	160	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-053-sonia-andorrita	small	2662	723	0.2716	0.0704	bé=16;bueno=5;clar=5;doncs=1;llavors=4;aleshores=1;de fet=1;és a dir=2;a veure=5;aviam=1;per tant=1;no?=17	comú=1;Escaldes=1	castellà=1	212	42	39	96	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-053-sonia-andorrita	base	2857	748	0.2618	0.1356	bé=19;bueno=5;clar=6;doncs=1;llavors=2;de fet=1;és a dir=1;a veure=2;per tant=1;no?=18	comú=1;Escaldes=1	castellà=1	213	43	41	110	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-054-francesc-solana	small	4980	1161	0.2331	0.0616	bé=35;bueno=17;clar=15;doncs=9;llavors=7;o sigui=6;vull dir=2;a veure=5;diguem=3;evidentment=1;per tant=1;no?=25		espanyol=12;espanyola=1	490	79	51	123	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-054-francesc-solana	base	5419	1215	0.2242	0.1921	bé=32;bueno=24;clar=15;doncs=16;llavors=1;o sigui=4;vull dir=1;a veure=6;diguem=3;evidentment=1;per tant=1;no?=29		espanyol=10;espanyola=1;francès=2	529	81	48	298	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-055-enric-flix	small	6835	1442	0.2110	0.1132	bé=16;bueno=24;clar=37;doncs=26;llavors=11;aleshores=2;és a dir=21;vull dir=2;a veure=6;aviam=11;evidentment=8;per tant=7;no?=19	bordes=1;Ordino=1;Sant Julià=1	espanyol=3;espanyola=1	712	87	78	228	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-055-enric-flix	base	7546	1486	0.1969	0.2482	bé=13;bueno=25;clar=29;doncs=19;llavors=5;aleshores=1;és a dir=13;o sigui=1;vull dir=1;a veure=5;aviam=9;evidentment=8;per tant=8;no?=17	bordes=1;Ordino=1	espanyol=2;espanyola=2	716	96	53	672	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-056-arnau-fortuny	small	5104	1157	0.2267	0.0732	bé=22;bueno=20;clar=41;doncs=3;llavors=7;aleshores=2;de fet=6;és a dir=4;o sigui=19;vull dir=1;a veure=7;diguem=7;evidentment=5;per tant=8;no?=14		anglès=2	441	56	48	213	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-056-arnau-fortuny	base	5212	1214	0.2329	0.1128	bé=27;bueno=16;clar=38;doncs=4;llavors=1;de fet=4;és a dir=5;o sigui=10;vull dir=1;a veure=5;diguem=4;evidentment=2;per tant=5;a nivell=1;no?=10		espanyol=1;anglès=2	451	58	46	413	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-057-gabriel-lezkano	small	2578	739	0.2867	0.0540	bé=11;bueno=4;clar=9;doncs=6;és a dir=2;o sigui=1;a veure=1;aviam=1;evidentment=1;per tant=1;no?=4		castellà=2;espanyol=2;espanyola=1;anglès=1	246	21	46	55	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-057-gabriel-lezkano	base	2766	724	0.2617	0.2384	bé=9;bueno=4;clar=4;doncs=2;llavors=1;és a dir=1;o sigui=2;evidentment=1;per tant=1;no?=2		castellà=3;espanyol=3;espanyola=1;anglès=1	301	18	34	275	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-058-nuria-pablos	small	4727	1125	0.2380	0.0570	bé=14;bueno=15;clar=31;doncs=15;llavors=15;aleshores=6;de fet=5;és a dir=5;o sigui=5;vull dir=2;a veure=4;per tant=1;no?=18	Escaldes=1		445	43	64	187	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-yt-058-nuria-pablos	base	4821	1167	0.2421	0.0711	bé=12;bueno=25;clar=27;doncs=13;llavors=7;de fet=6;és a dir=4;o sigui=3;vull dir=1;a veure=3;aviam=2;per tant=2;no?=28	Escaldes=1		460	39	57	282	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-059-carles-ensenyat	small	2465	876	0.3554	0.0384	bé=2;doncs=1;evidentment=1	comuns=1;santuari=12;Escaldes=1;Constitució=2;coprincipat=1		307	23	10	27	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-059-carles-ensenyat	base	2607	908	0.3483	0.0787	bé=2;doncs=1;evidentment=1	parròquia=1;comuns=1;santuari=12;Escaldes=1;Constitució=2		316	26	10	135	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-060-xavier-espot-actual	small	408	217	0.5319	0.0278	per tant=1	santuari=2		51	0	1	5	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-060-xavier-espot-actual	base	414	216	0.5217	0.0223	per tant=1;no?=1	santuari=2		54	0	1	6	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-061-antoni-morell	small	309	174	0.5631	0.0268		comunal=1;Massana=1		44	12	1	2	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
lead-rtva-061-antoni-morell	base	303	170	0.5611	0.0238	no?=1	comunal=1		47	9	1	3	recompte ASR; validar contra àudio	inventari ASR; pendent d'audició
