segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
189	606.640	609.640	ian-probable	baixa	primera persona i resposta desenvolupada	i m'he vist com si ara mateix estiguessis jo parlant amb ell fa unes setmanes.	heurística textual; pendent d'audició
190	609.720	611.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Tu t'has sentit cuidat per la gent d'eufòria?	heurística textual; pendent d'audició
191	611.800	616.000	indeterminat	baixa	no hi ha senyal textual suficient	Molt. De fet, és clar, perquè no es veu i la que més trobo a faltar	heurística textual; pendent d'audició
192	616.080	619.600	indeterminat	baixa	no hi ha senyal textual suficient	és tota la gent que hi ha darrere, càmeres, producció, els coaches.	heurística textual; pendent d'audició
193	619.680	621.680	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, tothom que hi ha darrere,	heurística textual; pendent d'audició
194	621.760	624.720	indeterminat	baixa	no hi ha senyal textual suficient	que és la part que m'està ofaltant perquè és la que ens cuida	heurística textual; pendent d'audició
195	624.800	627.120	indeterminat	baixa	no hi ha senyal textual suficient	i la que fa que hi brillem sobre l'escenari.	heurística textual; pendent d'audició
196	627.200	632.080	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Aquesta autoexigència t'ajuda o de vegades també et passa factura?	heurística textual; pendent d'audició
197	632.160	634.400	indeterminat	baixa	no hi ha senyal textual suficient	Doncs mira, m'endèia a veure el Dani.	heurística textual; pendent d'audició
198	634.480	637.600	indeterminat	baixa	no hi ha senyal textual suficient	Va haver-hi un punt del concurs, a la tercera gala,	heurística textual; pendent d'audició
199	637.680	639.600	indeterminat	baixa	no hi ha senyal textual suficient	"que a ""Majorize"" m'ho van dir,"	heurística textual; pendent d'audició
200	639.680	642.840	ian-probable	baixa	primera persona i resposta desenvolupada	que m'havia ficat un pèl més les piles, em va dir el xulat.	heurística textual; pendent d'audició
201	642.920	645.160	ian-probable	baixa	primera persona i resposta desenvolupada	"I el Dani Englès em va dir, ""Tampoc et passis,"	heurística textual; pendent d'audició
202	645.240	648.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	"perquè ja t'imposes massa d'exigència."""	heurística textual; pendent d'audició
203	648.080	650.240	indeterminat	baixa	no hi ha senyal textual suficient	"Llavors ""Avegades"" no és del tot bona."	heurística textual; pendent d'audició
204	650.320	653.320	ian-probable	baixa	primera persona i resposta desenvolupada	Jo diria, però si és veritat que m'ha passat molt bones jugades.	heurística textual; pendent d'audició
205	653.400	655.080	indeterminat	baixa	no hi ha senyal textual suficient	La pregunta del Milió.	heurística textual; pendent d'audició
206	655.160	657.160	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Eurovisió sí o Eurovisió no?	heurística textual; pendent d'audició
207	658.240	662.680	ian-probable	baixa	primera persona i resposta desenvolupada	Doncs mira, si és una cosa que és molt delicada, però jo diria que sí.	heurística textual; pendent d'audició
208	662.760	666.480	ian-probable	baixa	primera persona i resposta desenvolupada	Jo estic des de fa molts anys al sobre de la barca d'Eurovisió.	heurística textual; pendent d'audició
209	666.560	670.040	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors, si les condicions són ideals, jo m'hi vaig de cap.	heurística textual; pendent d'audició
210	670.120	672.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Amb quina cançó hi aniries?	heurística textual; pendent d'audició
211	672.200	674.200	indeterminat	baixa	no hi ha senyal textual suficient	Clar, amb una meva, no, però...	heurística textual; pendent d'audició
212	674.280	676.280	indeterminat	baixa	no hi ha senyal textual suficient	Escolta, estàs a temps, de fer cançons.	heurística textual; pendent d'audició
213	676.360	678.480	ian-probable	baixa	primera persona i resposta desenvolupada	Clar, però per això he d'anar amb una cançó original.	heurística textual; pendent d'audició
214	678.560	679.560	indeterminat	baixa	no hi ha senyal textual suficient	Sí.	heurística textual; pendent d'audició
215	679.640	681.640	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors, ara que ja estic treballant en les meves,	heurística textual; pendent d'audició
216	681.720	684.000	indeterminat	baixa	no hi ha senyal textual suficient	si em tenen en compte treballem una,	heurística textual; pendent d'audició
217	684.080	686.280	indeterminat	baixa	no hi ha senyal textual suficient	i fem una que sigui la ideal per representant d'orra.	heurística textual; pendent d'audició
218	686.360	688.600	indeterminat	baixa	no hi ha senyal textual suficient	En què ets bon fent tu cançons ara que dius	heurística textual; pendent d'audició
219	688.680	690.680	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	i estic treballant amb les meves, amb la lletra?	heurística textual; pendent d'audició
220	690.760	691.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Perquè entenc que...	heurística textual; pendent d'audició
221	692.040	694.040	indeterminat	baixa	no hi ha senyal textual suficient	No, sinó que documentant-me una mica,	heurística textual; pendent d'audició
222	694.120	695.640	indeterminat	baixa	no hi ha senyal textual suficient	tu ets molt fan de les balades.	heurística textual; pendent d'audició
223	695.720	696.920	indeterminat	baixa	no hi ha senyal textual suficient	Sí, també.	heurística textual; pendent d'audició
224	697.000	700.800	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ets més bo fent lletres o instrumentalment?	heurística textual; pendent d'audició
225	700.880	704.480	ian-probable	baixa	primera persona i resposta desenvolupada	Clar, jo estudi, estudi, no, ara he parat, però producció musical.	heurística textual; pendent d'audició
226	704.560	708.720	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors crec que això hi ha de canta més, que soc millor composant instrumentals.	heurística textual; pendent d'audició
227	708.800	711.560	indeterminat	baixa	no hi ha senyal textual suficient	La part lírica és una cosa que sempre m'ha costat molt.	heurística textual; pendent d'audició
228	711.640	714.720	ian-probable	baixa	primera persona i resposta desenvolupada	Si em dóna molt millor escriure poem, és una cosa molt més poètica,	heurística textual; pendent d'audició
229	714.800	716.800	ian-probable	baixa	primera persona i resposta desenvolupada	però jo des de cançons és veritat que em costa.	heurística textual; pendent d'audició
230	716.880	718.680	indeterminat	baixa	no hi ha senyal textual suficient	Llavors jo soc molt més d'instrumentals.	heurística textual; pendent d'audició
231	718.760	722.040	indeterminat	baixa	no hi ha senyal textual suficient	Instrumentals. Però ja escriuria-me una cançó per rebre la visió.	heurística textual; pendent d'audició
232	722.120	724.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ja la faries, eh? Sí, sí, m'ho demanen, sí.	heurística textual; pendent d'audició
233	724.800	728.160	ian-probable	baixa	primera persona i resposta desenvolupada	No t'ocupis que el reta jo, qualsevol reta que em fiquis ja hem vist que el agafo.	heurística textual; pendent d'audició
234	728.240	731.200	indeterminat	baixa	no hi ha senyal textual suficient	Som a les coses grans, som a la Ràdio Nacional d'Andorra,	heurística textual; pendent d'audició
235	731.280	733.120	indeterminat	baixa	no hi ha senyal textual suficient	i una conversa amb el Yamoya,	heurística textual; pendent d'audició
236	733.200	735.880	indeterminat	baixa	no hi ha senyal textual suficient	que és aquest artista que es va presentar a eufòria fa dos anys,	heurística textual; pendent d'audició
237	735.960	738.520	indeterminat	baixa	no hi ha senyal textual suficient	no el van agafar, i aquest cop sí, amb 18,	heurística textual; pendent d'audició
238	738.600	741.000	indeterminat	baixa	no hi ha senyal textual suficient	i ara l'estem escoltant.	heurística textual; pendent d'audició
239	741.080	742.280	indeterminat	baixa	no hi ha senyal textual suficient	Pusem-ne un altre.	heurística textual; pendent d'audició
240	742.360	748.800	indeterminat	baixa	no hi ha senyal textual suficient	# De fer-te una idea, una mica real,	heurística textual; pendent d'audició
241	750.880	756.680	indeterminat	baixa	no hi ha senyal textual suficient	# només de pensar-ho, m'agafo un desmai.	heurística textual; pendent d'audició
242	758.240	762.760	indeterminat	baixa	no hi ha senyal textual suficient	# Deixar que sigui una mica... #	heurística textual; pendent d'audició
243	762.840	764.120	indeterminat	baixa	no hi ha senyal textual suficient	Per conèixer-te una mica,	heurística textual; pendent d'audició
244	764.200	766.400	indeterminat	baixa	no hi ha senyal textual suficient	tu sempre has dit que volia ser un referent pel joves.	heurística textual; pendent d'audició
245	766.480	768.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com és que ho dius, això?	heurística textual; pendent d'audició
246	768.080	771.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Perquè... trobo que a mi me'n va a faltar molts,	heurística textual; pendent d'audició
247	771.360	773.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	quan jo era molt més petit, que soc molt jove, de fet,	heurística textual; pendent d'audició
248	773.960	776.160	ian-probable	baixa	primera persona i resposta desenvolupada	però que a casa, quan jo era molt petit,	heurística textual; pendent d'audició
249	776.240	779.240	ian-probable	baixa	primera persona i resposta desenvolupada	em faltaven referents a les pantalles amb els que he sentit identificat,	heurística textual; pendent d'audició
250	779.320	782.240	ian-probable	baixa	primera persona i resposta desenvolupada	i no vull ser-ho per el jo petit meu,	heurística textual; pendent d'audició
251	782.320	785.440	indeterminat	baixa	no hi ha senyal textual suficient	que també, sinó per tots els nens petits i no tan petits,	heurística textual; pendent d'audició
252	785.520	787.280	indeterminat	baixa	no hi ha senyal textual suficient	amb els que es puguin sentir reflexats.	heurística textual; pendent d'audició
253	787.360	790.640	indeterminat	baixa	no hi ha senyal textual suficient	Tu, és que la pregunta següent aquesta resposta era tu,	heurística textual; pendent d'audició
254	790.720	793.760	indeterminat	baixa	no hi ha senyal textual suficient	vas tenir fàcil a l'escola, que potser eres un nen més singular,	heurística textual; pendent d'audició
255	793.840	796.240	indeterminat	baixa	no hi ha senyal textual suficient	un noi que li agrada cantar, que li agrada ballar,	heurística textual; pendent d'audició
256	796.320	799.040	indeterminat	baixa	no hi ha senyal textual suficient	que li agrada l'espectacle com un artista sense complexes.	heurística textual; pendent d'audició
257	799.120	800.800	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Va ser fàcil per tu aquella etapa?	heurística textual; pendent d'audició
258	801.520	803.680	ian-probable	baixa	primera persona i resposta desenvolupada	Doncs mira, jo era molt tímid, molt ben petit.	heurística textual; pendent d'audició
259	803.760	806.000	indeterminat	baixa	no hi ha senyal textual suficient	Tinc una part molt més friqui, m'agraden molt coses	heurística textual; pendent d'audició
260	806.080	807.760	indeterminat	baixa	no hi ha senyal textual suficient	que potser la altra gent no li agradava.	heurística textual; pendent d'audició
261	807.840	809.760	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors jo anava molt a la meva desbenpetit	heurística textual; pendent d'audició
262	809.840	812.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	i la imaginació sempre ha envoltat el meu divertiment, no?	heurística textual; pendent d'audició
263	814.000	816.720	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors, a la mesura que vaig anar creixent,	heurística textual; pendent d'audició
264	816.800	819.800	ian-probable	baixa	primera persona i resposta desenvolupada	Me'n vaig a donar que ser jo mateix, si no tini vergonya,	heurística textual; pendent d'audició
265	819.880	821.880	indeterminat	baixa	no hi ha senyal textual suficient	m'han de portar coses molt més bones,	heurística textual; pendent d'audició
266	821.960	823.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè ho veia que la gent que ho era estava així.	heurística textual; pendent d'audició
267	824.040	826.560	ian-probable	baixa	primera persona i resposta desenvolupada	I llavors va ser quan vaig entrar al cor, que vaig començar a cantar,	heurística textual; pendent d'audició
268	826.640	828.640	ian-probable	baixa	primera persona i resposta desenvolupada	que vaig veure que aquella era la meva via,	heurística textual; pendent d'audició
269	828.720	830.720	indeterminat	baixa	no hi ha senyal textual suficient	per demostrar-me com podia ser jo.	heurística textual; pendent d'audició
270	830.800	832.800	ian-probable	baixa	primera persona i resposta desenvolupada	I va ser com vaig començar a estimar la música.	heurística textual; pendent d'audició
271	832.880	834.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Què maco, això!	heurística textual; pendent d'audició
272	834.960	837.960	indeterminat	baixa	no hi ha senyal textual suficient	Hi ha un cert punt de redemció, quan et van dir que sí, eufòria, de pensar...	heurística textual; pendent d'audició
273	838.040	841.040	indeterminat	baixa	no hi ha senyal textual suficient	Mira, tots aquells que no creien en mi, o que de vegades en deien això,	heurística textual; pendent d'audició
274	841.120	844.120	indeterminat	baixa	no hi ha senyal textual suficient	que vas, és molt estrany, va per ells també.	heurística textual; pendent d'audició
275	844.200	846.240	indeterminat	baixa	no hi ha senyal textual suficient	doncs et diria que no,	heurística textual; pendent d'audició
276	846.320	849.680	ian-probable	baixa	primera persona i resposta desenvolupada	però per ara sí que m'anirà a mi, em vaig superar a mi mateix	heurística textual; pendent d'audició
277	849.760	852.720	ian-probable	baixa	primera persona i resposta desenvolupada	i m'ho vaig dedicar a mi mateix a haver entrat a eufòria.	heurística textual; pendent d'audició
278	852.800	856.360	indeterminat	baixa	no hi ha senyal textual suficient	Era la feina que havia de caigudar en molts anys, però per mi mateix, no pels demés.	heurística textual; pendent d'audició
279	856.440	860.600	indeterminat	baixa	no hi ha senyal textual suficient	El moment del càsting, aquest any eufòria, van fer un format molt emotiu,	heurística textual; pendent d'audició
280	860.680	863.960	indeterminat	baixa	no hi ha senyal textual suficient	que és que amb els que estàveu a punt d'entrar o no entrar,	heurística textual; pendent d'audició
281	864.040	866.760	indeterminat	baixa	no hi ha senyal textual suficient	no us ho deia el propi jurat si us havien escollit,	heurística textual; pendent d'audició
282	866.840	869.680	indeterminat	baixa	no hi ha senyal textual suficient	sinó que venia un familiar vostre molt proper,	heurística textual; pendent d'audició
283	869.760	872.280	indeterminat	baixa	no hi ha senyal textual suficient	"i us deia, ""Mira, m'han dit que sí que entres o que no entres""."	heurística textual; pendent d'audició
284	872.360	876.880	ian-probable	baixa	segment llarg compatible amb resposta	clar, això va ser llagrim a viva per a tothom que estàvem a l'altra banda de les pantalles.	heurística textual; pendent d'audició
285	876.880	883.360	ian-probable	baixa	segment llarg compatible amb resposta	En el teu cas va venir la teva mare i et va dir que sí, que havies entrat i us vau fondre amb una abraçada.	heurística textual; pendent d'audició
286	883.360	888.360	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com és per una mare viure a tot aquest procés des de fora? Tu ho has parlat amb ella? Has tingut una conversa?	heurística textual; pendent d'audició
287	888.360	897.080	ian-probable	baixa	segment llarg compatible amb resposta	Ho vam parlar només a sortir de la mateixa ni de plató. És una decisió que és molt complicada perquè ma mare va tenir la sort que m'havia de dir que sí,	heurística textual; pendent d'audició
288	897.080	899.840	indeterminat	baixa	no hi ha senyal textual suficient	Però és veritat que molts pares van una vez de dir que no.	heurística textual; pendent d'audició
289	899.920	902.480	ian-probable	baixa	primera persona i resposta desenvolupada	I és veritat que jo ficant al paper d'aquests pares	heurística textual; pendent d'audició
290	902.560	904.960	indeterminat	baixa	no hi ha senyal textual suficient	de haver de dir que no el somni dels teus fills,	heurística textual; pendent d'audició
291	905.040	906.800	indeterminat	baixa	no hi ha senyal textual suficient	és una situació molt complicada, això.	heurística textual; pendent d'audició
292	906.880	909.200	indeterminat	baixa	no hi ha senyal textual suficient	Per sort, ma mare ho va estar parlant,	heurística textual; pendent d'audició
293	909.280	911.240	indeterminat	baixa	no hi ha senyal textual suficient	però va ser encara més dur per ella, diu,	heurística textual; pendent d'audició
294	911.320	913.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè m'havia de mentir a la cara en un moment.	heurística textual; pendent d'audició
295	913.800	916.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	-Per què? -M'havia de fer veure que no havia entrat.	heurística textual; pendent d'audició
296	916.080	918.600	indeterminat	baixa	no hi ha senyal textual suficient	Va fer veure, va fer una finta allà, de dir...	heurística textual; pendent d'audició
297	918.680	921.000	indeterminat	baixa	no hi ha senyal textual suficient	"""Homes, que potser l'entonació..."""	heurística textual; pendent d'audició
298	921.080	924.440	ian-probable	baixa	primera persona i resposta desenvolupada	No sé què et va dir, l'afinació, l'aveu, i jo vaig pensar, ja està.	heurística textual; pendent d'audició
299	924.520	927.040	indeterminat	baixa	no hi ha senyal textual suficient	"N'està fora, i llavors et va dir ""Prós, t'estàs dins!"""	heurística textual; pendent d'audició
300	927.120	929.120	indeterminat	baixa	no hi ha senyal textual suficient	I, clar, va fer una mica de paper.	heurística textual; pendent d'audició
301	929.200	931.200	ian-probable	baixa	primera persona i resposta desenvolupada	Sí, sí, però jo... És que m'ho crec que no havia entrat,	heurística textual; pendent d'audició
302	931.280	933.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè ma mare no és bon actriu.	heurística textual; pendent d'audició
303	933.360	936.360	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ma mare, sempre que la veig, és que mama estàs mentint, no?	heurística textual; pendent d'audició
304	936.440	939.440	indeterminat	baixa	no hi ha senyal textual suficient	O m'estàs enganyant. Va fer el paper de la seva vida.	heurística textual; pendent d'audició
305	939.520	942.840	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, abans de ja començar a gravar, ja n'entra, ja tenia la cara.	heurística textual; pendent d'audició
306	942.920	944.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	O sigui, jo pensava que no havia entrat, no?	heurística textual; pendent d'audició
307	945.000	947.000	indeterminat	baixa	no hi ha senyal textual suficient	I ara que ha sortit d'eufòria,	heurística textual; pendent d'audició
308	947.080	950.080	indeterminat	baixa	no hi ha senyal textual suficient	ella pateix per tu, de dir...	heurística textual; pendent d'audició
309	950.160	952.160	indeterminat	baixa	no hi ha senyal textual suficient	És que, clar, ara estàs molt exposat,	heurística textual; pendent d'audició
310	952.240	954.240	indeterminat	baixa	no hi ha senyal textual suficient	ara faràs un palau Sant Jordi,	heurística textual; pendent d'audició
311	954.320	956.640	indeterminat	baixa	no hi ha senyal textual suficient	Segurament comences un camí d'artista	heurística textual; pendent d'audició
312	956.720	959.200	indeterminat	baixa	no hi ha senyal textual suficient	que encara que no vulguis tens els focus posats en tu.	heurística textual; pendent d'audició
313	960.120	964.920	ian-probable	baixa	primera persona i resposta desenvolupada	No, ma mare he fet-ho viu de forma més positiva i més eufòrica que jo.	heurística textual; pendent d'audició
314	965.000	967.600	ian-probable	baixa	primera persona i resposta desenvolupada	Si fa això, fa un dia em va dir que anem a gravar un tic-toc,	heurística textual; pendent d'audició
315	967.680	970.200	ian-probable	baixa	primera persona i resposta desenvolupada	que jo també vull sortir, o sigui, ja s'hi fica, ja s'hi suma.	heurística textual; pendent d'audició
316	970.280	971.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ma mare tic-toc era, eh?	heurística textual; pendent d'audició
317	971.360	973.640	indeterminat	baixa	no hi ha senyal textual suficient	Sí, i ma mare creu molt en mi des del primer moment,	heurística textual; pendent d'audició
318	973.720	976.360	indeterminat	baixa	no hi ha senyal textual suficient	per això ella era allà, perquè és la persona que sempre m'agafa de la mà,	heurística textual; pendent d'audició
319	976.440	978.600	indeterminat	baixa	no hi ha senyal textual suficient	i sap què passi, el que passi, coneixent-me,	heurística textual; pendent d'audició
320	978.680	980.680	ian-probable	baixa	primera persona i resposta desenvolupada	tirarem de banda i la meva carrera hi serà.	heurística textual; pendent d'audició
321	980.760	983.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ara què estudies, que has dit que ho has aturat?	heurística textual; pendent d'audició
322	983.520	986.240	indeterminat	baixa	no hi ha senyal textual suficient	Això estudiava producció musical a Girona.	heurística textual; pendent d'audició
323	986.320	987.720	indeterminat	baixa	no hi ha senyal textual suficient	Però estudiaves en passat.	heurística textual; pendent d'audició
324	987.800	990.640	ian-probable	baixa	primera persona i resposta desenvolupada	Clar, perquè vaig haver de parar amb mòforia.	heurística textual; pendent d'audició
325	990.720	992.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	I ho rependràs?	heurística textual; pendent d'audició
326	992.280	993.360	indeterminat	baixa	no hi ha senyal textual suficient	Doncs no ho sé.	heurística textual; pendent d'audició
327	993.440	995.320	indeterminat	baixa	no hi ha senyal textual suficient	De moment, ara, el que...	heurística textual; pendent d'audició
328	995.400	997.960	indeterminat	baixa	no hi ha senyal textual suficient	la pausa, en principis, per reprendre-ho l'any que ve.	heurística textual; pendent d'audició
329	998.040	1000.280	ian-probable	baixa	primera persona i resposta desenvolupada	Ho vaig deixar al gener, rependeu el gener.	heurística textual; pendent d'audició
330	1000.360	1002.520	indeterminat	baixa	no hi ha senyal textual suficient	Tampoc sé quines voltes pot donar la vida,	heurística textual; pendent d'audició
331	1002.600	1004.880	ian-probable	baixa	primera persona i resposta desenvolupada	però ara vull focalitzar-me amb la meva carrera i si serveix.	heurística textual; pendent d'audició
332	1004.960	1006.240	indeterminat	baixa	no hi ha senyal textual suficient	Doncs mira, tirar-la endavant.	heurística textual; pendent d'audició
333	1006.320	1008.120	indeterminat	baixa	no hi ha senyal textual suficient	Andorra és un país molt petit.	heurística textual; pendent d'audició
334	1008.200	1011.200	indeterminat	baixa	no hi ha senyal textual suficient	Ser petit de vegades va bé perquè pots tenir moltes oportunitats,	heurística textual; pendent d'audició
335	1011.280	1015.200	indeterminat	baixa	no hi ha senyal textual suficient	Però, a la inversa, potser no tens els mateixos recursos,	heurística textual; pendent d'audició
336	1015.280	1019.200	indeterminat	baixa	no hi ha senyal textual suficient	artístics, logístics, com ciutats, com Barcelona o Madrid.	heurística textual; pendent d'audició
337	1019.600	1021.800	indeterminat	baixa	no hi ha senyal textual suficient	Tu t'has plantejat si podràs fer la teva carrera aquí,	heurística textual; pendent d'audició
338	1021.880	1023.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	o hauràs de marxar fora?	heurística textual; pendent d'audició
339	1023.960	1026.040	indeterminat	baixa	no hi ha senyal textual suficient	Doncs crec que en la meva...	heurística textual; pendent d'audició
340	1026.120	1029.480	indeterminat	baixa	no hi ha senyal textual suficient	El que contemplo com a carrera és no descartant ni una ni l'altra.	heurística textual; pendent d'audició
341	1029.920	1033.640	ian-probable	baixa	primera persona i resposta desenvolupada	Crec que em puc compaginar molt bé estar fora, fer la meva carrera fora,	heurística textual; pendent d'audició
342	1034.240	1036.880	indeterminat	baixa	no hi ha senyal textual suficient	i seguir, relat amb d'hora i seguir fent cosa amb d'hora.	heurística textual; pendent d'audició
343	1037.200	1040.560	indeterminat	baixa	no hi ha senyal textual suficient	Llavors, en cap dels escenaris, descarto un o descarto l'altre.	heurística textual; pendent d'audició
344	1040.960	1043.440	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, no és excluent de l'anterior.	heurística textual; pendent d'audició
345	1043.520	1044.520	indeterminat	baixa	no hi ha senyal textual suficient	No.	heurística textual; pendent d'audició
346	1044.600	1046.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	I en quin idioma? Això és un gran debat, eh?	heurística textual; pendent d'audició
347	1047.040	1050.160	indeterminat	baixa	no hi ha senyal textual suficient	Sí, doncs mira, la cançó que ara tenia...	heurística textual; pendent d'audició
348	1050.240	1053.240	indeterminat	baixa	no hi ha senyal textual suficient	vull mostrar-ho realment, que és el que vull ser com artista.	heurística textual; pendent d'audició
349	1053.320	1056.680	indeterminat	baixa	no hi ha senyal textual suficient	I la gran idea és convidar les dues més llengües maternes,	heurística textual; pendent d'audició
350	1056.760	1059.480	indeterminat	baixa	no hi ha senyal textual suficient	que són el català i el francès, llavors, i seran les dues.	heurística textual; pendent d'audició
351	1059.560	1062.680	indeterminat	baixa	no hi ha senyal textual suficient	O sigui, tu, si fas un EP, si fas un disc i treus cançons,	heurística textual; pendent d'audició
352	1062.760	1065.320	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	seran en català o seran en francès?	heurística textual; pendent d'audició
353	1065.400	1066.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Què que podem conviure molt?	heurística textual; pendent d'audició
354	1067.000	1069.320	ian-probable	baixa	primera persona i resposta desenvolupada	També dic que a mi m'agrada molt com paginar les llengües,	heurística textual; pendent d'audició
355	1069.400	1072.080	ian-probable	baixa	primera persona i resposta desenvolupada	he cantat totes les llengües possibles que hi ha qualsevol que jo parlo.	heurística textual; pendent d'audició
356	1072.160	1076.080	indeterminat	baixa	no hi ha senyal textual suficient	Llavors, tampoc descartaria que puguis haver-hi l'anglès, el castellà, el català i el francès.	heurística textual; pendent d'audició
357	1076.160	1080.520	ian-probable	baixa	primera persona i resposta desenvolupada	A mi ja sempre m'agrada una cosa, que és que... eufòria.	heurística textual; pendent d'audició
358	1080.600	1084.760	indeterminat	baixa	no hi ha senyal textual suficient	Hi ha la gent que decideix seguir la seva varietat dialectal quan canta una cançó.	heurística textual; pendent d'audició
359	1084.840	1089.080	indeterminat	baixa	no hi ha senyal textual suficient	En aquest cas, tu quan vas cantar per fer-te una idea és aquest accent endurrar,	heurística textual; pendent d'audició
360	1089.160	1093.880	indeterminat	baixa	no hi ha senyal textual suficient	que... bé, en l'hora de versionar, l'accent de Renaldo Icalares	heurística textual; pendent d'audició
361	1093.960	1097.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	és un accent central, però tu, no? Tu no vas dir, escolta,	heurística textual; pendent d'audició
362	1097.520	1101.280	indeterminat	baixa	no hi ha senyal textual suficient	Igual que me'n recordo el Lluís, l'anticuanyador d'Euphoria.	heurística textual; pendent d'audició
363	1101.360	1104.640	indeterminat	baixa	no hi ha senyal textual suficient	No me'n recordo si va ser el guanyador d'Euphoria 2 o 3.	heurística textual; pendent d'audició
364	1104.720	1106.160	indeterminat	baixa	no hi ha senyal textual suficient	-El 3. -El 3.	heurística textual; pendent d'audició
365	1106.240	1108.560	indeterminat	baixa	no hi ha senyal textual suficient	Tampoc renunciava al seu accent dialectal.	heurística textual; pendent d'audició
366	1108.640	1110.320	indeterminat	baixa	no hi ha senyal textual suficient	I penso que això és molt maco.	heurística textual; pendent d'audició
367	1110.400	1113.760	ian-probable	baixa	primera persona i resposta desenvolupada	"Tu t'ho has plantejat, de dir ""no, no, jo vull anar amb això""."	heurística textual; pendent d'audició
368	1113.840	1115.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Doncs tinc aquest debat, no?,	heurística textual; pendent d'audició
369	1116.040	1119.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè a nivell musical potser no m'agrada més un que l'altre,	heurística textual; pendent d'audició
370	1119.120	1122.560	indeterminat	baixa	no hi ha senyal textual suficient	i per la cançora sí que sortia una cosa molt més central,	heurística textual; pendent d'audició
371	1122.640	1124.640	ian-probable	baixa	primera persona i resposta desenvolupada	però perquè també he conviscut amb molta gent.	heurística textual; pendent d'audició
372	1124.720	1128.000	indeterminat	baixa	no hi ha senyal textual suficient	i part del món torta amb el parla, i llavors també ho trobo com a casa.	heurística textual; pendent d'audició
373	1128.080	1132.680	indeterminat	baixa	no hi ha senyal textual suficient	Però no descarto, o sigui, que la riquesa cultural hi és,	heurística textual; pendent d'audició
374	1132.760	1137.320	ian-probable	baixa	primera persona i resposta desenvolupada	i que, que escullo un o l'altre, tampoc m'arribarà a separar molt de qui soc.	heurística textual; pendent d'audició
375	1137.400	1139.560	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Quina cançó et va faltar a cantar eufòria?	heurística textual; pendent d'audició
376	1139.640	1142.640	indeterminat	baixa	no hi ha senyal textual suficient	Doncs a mi m'ha agradat cantar alguna balada, com deies abans.	heurística textual; pendent d'audició
377	1142.720	1145.440	indeterminat	baixa	no hi ha senyal textual suficient	A mi m'ha agradat molt cantar la versió que vam fer a la Marató,	heurística textual; pendent d'audició
378	1145.520	1147.200	indeterminat	baixa	no hi ha senyal textual suficient	de miss 36 del Pablo Alvorán.	heurística textual; pendent d'audició
