segment	inici_s	final_s	speaker_hipotesi	confiança_regla	evidencia_regla	text_asr	estat
203	611.760	614.160	joan-probable	0.60	primera persona o resposta declarativa	Personalment tinc moltes ganes d'aquesta carrera,	hipòtesi; pendent d’audició
204	614.240	617.880	entrevistador-probable	0.78	interrogació o fórmula de pregunta	perquè he dit una mica, avui seguir en aquest esquí tan sòlid,	hipòtesi; pendent d’audició
205	617.960	621.080	joan-probable	0.60	primera persona o resposta declarativa	no cada cara podrà ser un 12è, jo, evidentment,	hipòtesi; pendent d’audició
206	621.160	624.400	indeterminat	0.30	cap indici textual suficient	però seguir sòlid en aquests 30,	hipòtesi; pendent d’audició
207	624.480	628.080	indeterminat	0.30	cap indici textual suficient	i tenir oportunitats de quan la pista estigui un pelet millor,	hipòtesi; pendent d’audició
208	628.160	630.680	joan-probable	0.60	primera persona o resposta declarativa	doncs poder exprimir-me al màxim i anar a buscar punts.	hipòtesi; pendent d’audició
209	630.760	632.920	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Tornarà a haver-hi club de fans per allà o no?	hipòtesi; pendent d’audició
210	633.000	635.440	indeterminat	0.30	cap indici textual suficient	Sí, segurament, segurament, sí, sí, sí.	hipòtesi; pendent d’audició
211	635.520	639.520	indeterminat	0.30	cap indici textual suficient	No, està bé, perquè allà, si no, tot és austria, suïssa...	hipòtesi; pendent d’audició
212	639.600	644.320	indeterminat	0.30	cap indici textual suficient	i que desbarrereixi una mica de països com el nostre,	hipòtesi; pendent d’audició
213	644.400	646.840	entrevistador-probable	0.78	interrogació o fórmula de pregunta	entre les grans nacions de l'esquí, d'on està molt bé?	hipòtesi; pendent d’audició
214	646.920	649.920	indeterminat	0.30	cap indici textual suficient	La televisió d'Andorra s'ha recuperat una mica	hipòtesi; pendent d’audició
215	650.000	652.960	indeterminat	0.30	cap indici textual suficient	el que passava amb el Lluís Marín, que havia en les copes del món,	hipòtesi; pendent d’audició
216	653.040	655.360	indeterminat	0.30	cap indici textual suficient	i veies que la gent s'ajuntava sota la televisió.	hipòtesi; pendent d’audició
217	655.440	659.160	joan-probable	0.60	primera persona o resposta declarativa	Ara, tot em sap un del carro, ara que fas aquests resultats brutals,	hipòtesi; pendent d’audició
218	659.240	665.520	indeterminat	0.30	cap indici textual suficient	la gent s'ajuntava sota la televisió per viure en directe les teves màneques.	hipòtesi; pendent d’audició
219	665.600	667.480	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Imagino que això passa tot el país, clar.	hipòtesi; pendent d’audició
220	667.560	671.400	indeterminat	0.30	cap indici textual suficient	no he notat molt suport de moltíssima gent,	hipòtesi; pendent d’audició
221	671.480	673.800	indeterminat	0.30	cap indici textual suficient	en general, que seguien l'estiu anteriorment,	hipòtesi; pendent d’audició
222	673.880	675.880	indeterminat	0.30	cap indici textual suficient	o que l'han començat a seguir ara.	hipòtesi; pendent d’audició
223	675.960	679.120	joan-probable	0.60	primera persona o resposta declarativa	I jo em sento la diferència, una mica, en el meu cas,	hipòtesi; pendent d’audició
224	679.200	684.080	indeterminat	0.30	cap indici textual suficient	en el nostre cas d'Andorra amb la diferència d'altres corredors,	hipòtesi; pendent d’audició
225	684.160	687.360	indeterminat	0.30	cap indici textual suficient	és que tenen una història com Suïssa, Òstria,	hipòtesi; pendent d’audició
226	687.440	691.800	indeterminat	0.30	cap indici textual suficient	de constantment campions, grans esquíadors,	hipòtesi; pendent d’audició
227	691.880	695.000	joan-probable	0.60	primera persona o resposta declarativa	i nosaltres és com un corredor sol,	hipòtesi; pendent d’audició
228	695.080	698.560	joan-probable	0.60	primera persona o resposta declarativa	I em sento com molt part de tot el suport,	hipòtesi; pendent d’audició
229	698.640	701.240	indeterminat	0.30	cap indici textual suficient	sento el suport, represento el meu país,	hipòtesi; pendent d’audició
230	701.320	703.320	joan-probable	0.60	primera persona o resposta declarativa	i això encara em dona un puj extra.	hipòtesi; pendent d’audició
231	703.400	705.920	indeterminat	0.30	cap indici textual suficient	I un puj extra també t'ha donat el tema del YouTube.	hipòtesi; pendent d’audició
232	706.000	708.000	joan-probable	0.60	primera persona o resposta declarativa	Ara ets YouTuber, no sé si...	hipòtesi; pendent d’audició
233	708.080	710.080	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Bé, bé, poc a poc, eh?	hipòtesi; pendent d’audició
234	710.160	712.520	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Imagino que t'ajuda un pli, una mica...	hipòtesi; pendent d’audició
235	712.600	715.200	joan-probable	0.60	primera persona o resposta declarativa	A veure, tu ho he destacat jo moltes vegades,	hipòtesi; pendent d’audició
236	715.280	717.280	indeterminat	0.30	cap indici textual suficient	que sembla una vida fàcil la vostra,	hipòtesi; pendent d’audició
237	717.360	721.080	indeterminat	0.30	cap indici textual suficient	però, clar, no tens la vida d'algú de 20 anys normal,	hipòtesi; pendent d’audició
238	721.160	723.360	indeterminat	0.30	cap indici textual suficient	que pot estar amb els seus amics quan acaba de treballar.	hipòtesi; pendent d’audició
239	723.440	726.480	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Imagino que t'omple aquests espais buits i, d'alguna manera, els profit.	hipòtesi; pendent d’audició
240	726.560	730.120	indeterminat	0.30	cap indici textual suficient	Sí, la idea del YouTube era, justament això,	hipòtesi; pendent d’audició
241	730.200	733.760	indeterminat	0.30	cap indici textual suficient	intentar mostrar tot el treball que hi ha darrere,	hipòtesi; pendent d’audició
242	733.840	738.160	entrevistador-probable	0.78	interrogació o fórmula de pregunta	perquè, al final, només es veuen quatre imatges a les xarxes socials	hipòtesi; pendent d’audició
243	738.240	741.920	indeterminat	0.30	cap indici textual suficient	o alguna manera a la tele, però no es veu tota la preparació que hi ha darrere,	hipòtesi; pendent d’audició
244	742.000	746.840	indeterminat	0.30	cap indici textual suficient	no només d'esquí, sinó de preparació física, d'alimentació, de tot,	hipòtesi; pendent d’audició
245	746.920	750.320	indeterminat	0.30	cap indici textual suficient	tot el que abarca a una preparació de copa del món.	hipòtesi; pendent d’audició
246	750.400	753.560	joan-probable	0.60	primera persona o resposta declarativa	I, bueno, estem dedicant ganes, energia,	hipòtesi; pendent d’audició
247	753.640	756.840	joan-probable	0.60	primera persona o resposta declarativa	ens ho passem bé, intentem fer un format professional,	hipòtesi; pendent d’audició
248	756.920	758.920	indeterminat	0.30	cap indici textual suficient	però la vegada que sí, divertit i entretingut,	hipòtesi; pendent d’audició
249	759.000	761.800	joan-probable	0.60	primera persona o resposta declarativa	de moment tinc superbon feedback, la gent està encantadíssima,	hipòtesi; pendent d’audició
250	761.880	764.280	joan-probable	0.60	primera persona o resposta declarativa	també no toco que anem coneixent més,	hipòtesi; pendent d’audició
251	764.360	767.160	indeterminat	0.30	cap indici textual suficient	ostres, no temo un suport molt gran amb l'equip,	hipòtesi; pendent d’audició
252	767.240	769.240	joan-probable	0.60	primera persona o resposta declarativa	i és el que ens agrada fer, i seguirem fent.	hipòtesi; pendent d’audició
253	769.320	771.320	indeterminat	0.30	cap indici textual suficient	I, bueno, posar resultats així també acompanya.	hipòtesi; pendent d’audició
254	771.400	773.400	entrevistador-probable	0.78	interrogació o fórmula de pregunta	Sí, trobo que és superinteressant, eh?	hipòtesi; pendent d’audició
255	773.480	775.960	indeterminat	0.30	cap indici textual suficient	Pogués seguir la vida d'un esquí de professional,	hipòtesi; pendent d’audició
256	776.040	778.040	joan-probable	0.60	primera persona o resposta declarativa	del teu equip, que som com una família,	hipòtesi; pendent d’audició
257	778.120	782.480	joan-probable	0.60	primera persona o resposta declarativa	I bé, per l'experiència pròpia et puc dir que gent que no li agrada l'esquit...	hipòtesi; pendent d’audició
258	782.560	784.840	entrevistador-probable	0.78	interrogació o fórmula de pregunta	et segueix el YouTube i li agrada.	hipòtesi; pendent d’audició
259	784.920	786.360	indeterminat	0.30	cap indici textual suficient	Molt bé, merci.	hipòtesi; pendent d’audició
260	786.440	790.560	indeterminat	0.30	cap indici textual suficient	Per cert, aquests dies aquí et veurem fent de dijous a la Varset.	hipòtesi; pendent d’audició
261	790.640	793.960	indeterminat	0.30	cap indici textual suficient	Això és que ho he comentat a l'últim vídeo.	hipòtesi; pendent d’audició
262	794.040	797.800	indeterminat	0.30	cap indici textual suficient	Si la temporada va molt bé faré un dijous a la Varset de celebració.	hipòtesi; pendent d’audició
263	797.880	800.240	joan-probable	0.60	primera persona o resposta declarativa	Doncs tampoc ens ho perdrem.	hipòtesi; pendent d’audició
264	800.320	803.480	joan-probable	0.60	primera persona o resposta declarativa	"Merci per estar amb nosaltres a ""L'Andorra en Blanca"", Joan Verdu,"	hipòtesi; pendent d’audició
265	803.560	805.560	indeterminat	0.30	cap indici textual suficient	i rei tot el millor. Adéu-vos-les.	hipòtesi; pendent d’audició
266	805.640	807.360	indeterminat	0.30	cap indici textual suficient	Moltes gràcies a vosaltres.	hipòtesi; pendent d’audició
